"","rated","turns","victory_status","winner","opening_name","pace_type","W1","B1","W_First5","B_First5","Rating_WB"
"17",FALSE,101,"RESIGN","BLACK","PHILIDOR DEFENSE #3","STANDARD","e4","e5","e4_Nf3_Bc4_d3_dxc4","e5_d6_Be6_Bxc4_c5",0.841538462
"18",FALSE,25,"RESIGN","WHITE","QUEEN'S PAWN GAME","BLITZ","d4","d5","d4_h3_Nf3_Bg5_Bxf6","d5_Nc6_Nf6_h6_exf6",1.371115174
"19",FALSE,14,"RESIGN","BLACK","ITALIAN GAME: ANTI-FRIED LIVER DEFENSE","STANDARD","e4","e5","e4_Nf3_Bc4_O-O_d3","e5_Nc6_h6_Bc5_Nf6",0.65274463
"20",FALSE,3,"RESIGN","WHITE","HORWITZ DEFENSE","STANDARD","d4","e6","d4_Nc3___","e6____",1.024344569
"21",FALSE,17,"RESIGN","WHITE","SICILIAN DEFENSE: BOWDLER ATTACK","STANDARD","e4","c5","e4_Bc4_Nc3_Nf3_Ng5","c5_Nf6_d6_g6_e6",1.371115174
"22",TRUE,36,"RESIGN","WHITE","ENGLISH OPENING: KING'S ENGLISH VARIATION |  REVERSED CLOSED SICILIAN","BLITZ","c4","Nc6","c4_Nc3_g3_Bg2_e3","Nc6_e5_Bc5_Nge7_b6",1.181735986
"23",TRUE,13,"RESIGN","BLACK","SICILIAN DEFENSE: SMITH-MORRA GAMBIT #2","BLITZ","e4","c5","e4_d4_Qxd4_Qa4_Be3","c5_cxd4_Nc6_e5_Nf6",0.782150387
"24",TRUE,43,"RESIGN","WHITE","SCOTCH GAME: HAXO GAMBIT","BLITZ","e4","e5","e4_Nf3_d4_Bc4_c3","e5_Nc6_exd4_Bc5_dxc3",1.691380908
"25",TRUE,54,"MATE","BLACK","QUEEN'S PAWN GAME: CHIGORIN VARIATION","BLITZ","d4","d5","d4_Nc3_Nf3_e3_h4","d5_Nf6_Nc6_Bf5_e6",1.27938343
"26",TRUE,53,"RESIGN","BLACK","SLAV DEFENSE","BLITZ","d4","d5","d4_c4_e3_Bxc4_Nc3","d5_c6_dxc4_Nf6_e6",0.91349481
"27",TRUE,66,"MATE","BLACK","QUEEN'S GAMBIT REFUSED: MARSHALL DEFENSE","BLITZ","d4","d5","d4_c4_Nc3_Nf3_e3","d5_Nf6_Nc6_e6_Bd6",0.93815331
"28",TRUE,64,"RESIGN","BLACK","SICILIAN DEFENSE: SMITH-MORRA GAMBIT #2","BLITZ","e4","c5","e4_d4_Qxd4_Qa4_Nc3","c5_cxd4_Nc6_Nf6_g6",1.310810811
"29",TRUE,64,"MATE","BLACK","SICILIAN DEFENSE: CANAL ATTACK |  MAIN LINE","BLITZ","e4","c5","e4_Nf3_Bb5+_Bxd7+_O-O","c5_d6_Bd7_Nxd7_Ngf6",1.19760479
"30",TRUE,54,"RESIGN","WHITE","SICILIAN DEFENSE","BLITZ","e4","c5","e4_Nf3_exd5_Nc3_Qe2","c5_d5_Qxd5_Qe6+_Qxe2+",1.180569185
"31",FALSE,21,"RESIGN","BLACK","QUEEN'S GAMBIT ACCEPTED: CENTRAL VARIATION |  GRECO VARIATION","STANDARD","d4","d5","d4_c4_e4_Na3_Qf3","d5_dxc4_b5_a6_f6",0.679333333
"32",FALSE,11,"RESIGN","WHITE","SICILIAN DEFENSE: BOWDLER ATTACK","STANDARD","e4","c5","e4_Bc4_d3_Nf3_Ng5","c5_Nf6_d6_g6_Bg7",1.458461538
"33",TRUE,19,"RESIGN","BLACK","ROBATSCH (MODERN) DEFENSE","BLITZ","d4","g6","d4_e4_Bf4_Bc4_Nf3","g6_Bg7_e6_Ne7_h6",0.532751092
"34",TRUE,28,"RESIGN","WHITE","BLACKMAR-DIEMER GAMBIT: TARTAKOWER VARIATION","BLITZ","d4","d5","d4_e4_Nc3_f3_Nxf3","d5_dxe4_Nf6_exf3_Bf5",1.604294479
"35",FALSE,22,"RESIGN","BLACK","INDIAN GAME","STANDARD","d4","Nf6","d4_Nc3_d5_e4_Nf3","Nf6_d6_g6_Bg7_O-O",0.652
"36",FALSE,37,"RESIGN","WHITE","SICILIAN DEFENSE: DRAGON VARIATION |  YUGOSLAV ATTACK |  MAIN LINE","STANDARD","e4","c5","e4_Nf3_d4_Nxd4_Nc3","c5_d6_cxd4_Nf6_g6",1.533742331
"37",FALSE,34,"RESIGN","WHITE","ENGLISH OPENING: KING'S ENGLISH VARIATION |  REVERSED SICILIAN","STANDARD","c4","e5","c4_Nc3_g3_Bg2_Nf3","e5_Bc5_Nc6_Nf6_b6",2.50408998
"39",FALSE,71,"RESIGN","BLACK","SICILIAN DEFENSE: CLOSED VARIATION","BLITZ","e4","c5","e4_Nc3_Bc4_Qe2_e5","c5_d6_Nf6_g6_dxe5",1.268916155
"40",FALSE,30,"RESIGN","WHITE","SICILIAN DEFENSE: SMITH-MORRA GAMBIT #2","STANDARD","e4","c5","e4_d4_Qxd4_Qa4_Nf3","c5_cxd4_Nc6_Nf6_g6",1.533742331
"41",FALSE,41,"RESIGN","WHITE","SICILIAN DEFENSE: SMITH-MORRA GAMBIT #2","STANDARD","e4","c5","e4_d4_Qxd4_Qe3_e5","c5_cxd4_Nc6_Nf6_Qa5+",1.533742331
"42",FALSE,49,"RESIGN","WHITE","SICILIAN DEFENSE: BOWDLER ATTACK","STANDARD","e4","c5","e4_Bc4_Nc3_d3_Nge2","c5_Nc6_d6_Nf6_g6",1.533742331
"43",FALSE,3,"RESIGN","BLACK","SCANDINAVIAN DEFENSE","STANDARD","e4","d5","e4_exd5___","d5____",0.652
"44",FALSE,7,"RESIGN","WHITE","SICILIAN DEFENSE: BOWDLER ATTACK","BLITZ","e4","c5","e4_Bc4_e5_Nf3_","c5_Nf6_Ne4__",1.373210634
"45",FALSE,5,"RESIGN","BLACK","FRENCH DEFENSE: NORMAL VARIATION","BLITZ","d4","e6","d4_e4_Nc3__","e6_Qh4___",0.652
"46",FALSE,7,"RESIGN","WHITE","KING'S PAWN GAME: BEYER GAMBIT","BLITZ","e4","e5","e4_d4_Nf3_Nxe5_","e5_d5_dxe4__",1.533742331
"47",FALSE,53,"MATE","WHITE","DUTCH DEFENSE","BLITZ","d4","f5","d4_e3_Nc3_Bb5+_Bd3","f5_Nf6_d5_c6_b5",0.652
"48",TRUE,8,"RESIGN","WHITE","ZUKERTORT OPENING: ROSS GAMBIT","STANDARD","Nf3","e5","Nf3_Nxe5_e4_d4_","e5_Ke7_Kd6_Nc6_",1.308950086
"49",TRUE,3,"RESIGN","WHITE","SICILIAN DEFENSE: CLOSED VARIATION","BLITZ","e4","c5","e4_Nc3___","c5____",0.938
"50",TRUE,28,"RESIGN","WHITE","VIENNA GAME: MENGARINI VARIATION","BLITZ","e4","e5","e4_a3_Nc3_exd5_Nxd5","e5_Nf6_d5_Nxd5_Qxd5",1.023319616
"51",TRUE,30,"RESIGN","BLACK","PHILIDOR DEFENSE: LARSEN VARIATION","BLITZ","e4","e5","e4_Nf3_d4_Nxd4_Bc4","e5_d6_exd4_g6_Nf6",0.980582524
"52",TRUE,44,"RESIGN","BLACK","SCOTCH GAME","BLITZ","e4","e5","e4_Nf3_d4_c3_d5","e5_Nc6_Bb4+_Bd6_Nce7",1.125965997
"53",TRUE,29,"RESIGN","WHITE","PHILIDOR DEFENSE: LOPEZ COUNTERGAMBIT","BLITZ","e4","e5","e4_Nf3_Bc4_exf5_Nc3","e5_d6_f5_Bxf5_e4",1.040245566
"54",TRUE,37,"RESIGN","BLACK","FRENCH DEFENSE: KNIGHT VARIATION","BLITZ","e4","e6","e4_Nf3_exd5_d4_c4","e6_d5_exd5_Bg4_Bb4+",0.764407853
"55",TRUE,49,"RESIGN","WHITE","MODERN DEFENSE","BLITZ","d4","g6","d4_Nf3_Bf4_e3_c3","g6_Bg7_d6_Nd7_e5",0.996185633
"56",TRUE,32,"RESIGN","BLACK","HORWITZ DEFENSE","BLITZ","d4","e6","d4_Bf4_c3_b3_cxd4","e6_c5_Qb6_cxd4_Bb4+",0.98317757
"57",TRUE,25,"RESIGN","WHITE","BLUMENFELD COUNTERGAMBIT #2","BLITZ","d4","Nf6","d4_c4_Nf3_d5_cxd5","Nf6_e6_c5_exd5_c4",1.226438963
"58",TRUE,40,"MATE","BLACK","FRENCH DEFENSE #2","BLITZ","e4","e6","e4_Bc4_exd5_Bb3_Ne2","e6_d5_exd5_Qe7+_Nf6",1.031887755
"59",TRUE,39,"RESIGN","WHITE","ZUKERTORT OPENING: KINGSIDE FIANCHETTO","BLITZ","Nf3","g6","Nf3_g3_Bg2_O-O_c3","g6_Bg7_e6_Ne7_c5",1.114993647
"60",TRUE,57,"RESIGN","WHITE","INDIAN GAME","STANDARD","d4","Nf6","d4_Bf4_e3_exd4_Nf3","Nf6_c5_cxd4_d5_Bg4",0.978070175
"61",TRUE,78,"RESIGN","BLACK","FRENCH DEFENSE: QUEEN'S KNIGHT","BLITZ","e4","e6","e4_Nc3_Nge2_a3_Nxc3","e6_Bb4_Ne7_Bxc3_d5",0.965250965
"62",TRUE,61,"RESIGN","WHITE","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_Nf3_c3_e3","d5_e6_c5_Nc6_Nf6",1.056810404
"63",TRUE,44,"RESIGN","BLACK","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nc6_f6_g5_a6",1.170786517
"64",TRUE,62,"MATE","BLACK","QUEEN'S PAWN","STANDARD","d4","d6","d4_Bf4_Nf3_e3_Nbd2","d6_e6_Nc6_Nf6_d5",1.07414966
"65",TRUE,87,"MATE","WHITE","INDIAN GAME","STANDARD","d4","Nf6","d4_e3_f4_Nf3_c4","Nf6_g6_Bg7_d5_O-O",1.016981132
"66",TRUE,54,"MATE","BLACK","FRENCH DEFENSE: ADVANCE |  STEINITZ VARIATION","STANDARD","e4","e6","e4_d4_e5_dxc5_Nf3","e6_d5_c5_Bxc5_Nc6",0.760075567
"67",TRUE,54,"RESIGN","BLACK","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_e3_Nf3_h3","d5_Nc6_Nf6_Bg4_Bh5",1.031027796
"68",TRUE,37,"RESIGN","WHITE","FRENCH DEFENSE: EXCHANGE VARIATION","STANDARD","e4","e6","e4_d4_exd5_Bd3_h3","e6_d5_exd5_Bd6_Ne7",1.160100063
"69",TRUE,50,"RESIGN","WHITE","HORWITZ DEFENSE","STANDARD","d4","e6","d4_Bf4_Nf3_e4_Qd2","e6_h6_d6_Qf6_Nc6",1.027149321
"70",TRUE,131,"RESIGN","WHITE","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","Nf6","d4_Bf4_Nf3_c4_Bg3","Nf6_d5_e6_Bd6_Bxg3",0.909143519
"71",TRUE,48,"RESIGN","WHITE","FRENCH DEFENSE: CHIGORIN VARIATION","STANDARD","e4","e6","e4_Qe2_Nf3_g3_Bg2","e6_c5_Nc6_g6_Bg7",1.089297023
"72",TRUE,47,"RESIGN","BLACK","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nf6_e6_Bd6_O-O",0.750118765
"73",TRUE,64,"MATE","BLACK","FRENCH DEFENSE: LA BOURDONNAIS VARIATION","STANDARD","e4","e6","e4_f4_e5_Nf3_c3","e6_d5_c5_Nc6_Nh6",1.133333333
"74",TRUE,61,"RESIGN","WHITE","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_e3_Nf3_c4","d5_Nf6_g6_Bg7_dxc4",1.080779944
"75",TRUE,57,"MATE","WHITE","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_h3","Nf6_d5_Nc6_Bg4_Bh5",0.921415717
"76",TRUE,51,"RESIGN","WHITE","ENGLISH OPENING: ANGLO-LITHUANIAN VARIATION","STANDARD","c4","Nc6","c4_d4_e3_Nc3_Bd2","Nc6_g6_Bg7_d6_Bf5",0.981923822
"77",TRUE,58,"MATE","BLACK","CRAB OPENING","STANDARD","a4","e5","a4_h4_b3_e3_Bb5","e5_d5_Nc6_Bf5_Ne7",0.809708738
"78",TRUE,71,"RESIGN","WHITE","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nc6_f6_g5_Be6",1.091619318
"79",TRUE,114,"RESIGN","WHITE","QUEEN'S PAWN","STANDARD","d4","c6","d4_Bf4_Nf3_Nbd2_e3","c6_e6_d5_c5_cxd4",1.006613757
"80",TRUE,39,"RESIGN","WHITE","FRENCH DEFENSE: WINAWER VARIATION |  ADVANCE VARIATION #2","STANDARD","e4","e6","e4_d4_Nc3_e5_a3","e6_d5_Bb4_c5_Bxc3+",1.045691906
"81",TRUE,20,"RESIGN","BLACK","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_Nbd2","Nf6_d5_Bf5_c6_Qb6",0.96861268
"82",TRUE,48,"RESIGN","BLACK","QUEEN'S PAWN GAME: MASON ATTACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_e6_c5_Bd6_Bxg3",1.011046134
"83",TRUE,34,"MATE","BLACK","FRENCH DEFENSE: KNIGHT VARIATION","STANDARD","e4","e6","e4_Nf3_exd5_d4_Be2","e6_d5_exd5_Bg4_Qe7",0.910206718
"84",TRUE,51,"RESIGN","WHITE","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bd3","d5_Nf6_h6_e6_Nc6",1.085331453
"85",TRUE,69,"RESIGN","WHITE","FRENCH DEFENSE: QUEEN'S KNIGHT","STANDARD","e4","e6","e4_Nc3_exd5_Nf3_Bb5+","e6_d5_exd5_Nf6_c6",1.034193548
"86",TRUE,28,"RESIGN","WHITE","QUEEN'S PAWN GAME: STEINITZ COUNTERGAMBIT","STANDARD","d4","d5","d4_Bf4_e3_exd4_Nf3","d5_c5_cxd4_e6_Nc6",1.102215868
"87",TRUE,62,"RESIGN","BLACK","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Nbd2","d5_Nf6_c5_Bg4_cxd4",0.823654768
"88",TRUE,62,"MATE","BLACK","QUEEN'S INDIAN DEFENSE","STANDARD","d4","Nf6","d4_Nf3_c3_Qb3_Ne5","Nf6_b6_Bb7_e6_Nc6",0.738762215
"89",TRUE,85,"MATE","WHITE","HORWITZ DEFENSE","STANDARD","d4","e6","d4_Bf4_Nf3_e3_c3","e6_d5_Qe7_c5_cxd4",0.84809417
"90",TRUE,38,"RESIGN","WHITE","QUEEN'S PAWN GAME: LONDON SYSTEM","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_Bg3","Nf6_d5_Nc6_Nh5_Nxg3",1.038754325
"91",FALSE,14,"RESIGN","WHITE","ITALIAN GAME: GIUOCO PIANISSIMO |  NORMAL","STANDARD","e4","e5","e4_Bc4_d3_Nf3_Ng5","e5_Nc6_Nf6_Bc5_d6",1
"93",TRUE,62,"RESIGN","WHITE","QUEEN'S GAMBIT REFUSED: MARSHALL DEFENSE","STANDARD","d4","d5","d4_c4_Nc3_e3_Nf3","d5_Nf6_dxc4_Be6_a6",0.991990847
"94",TRUE,101,"RESIGN","WHITE","FRENCH DEFENSE: MARSHALL VARIATION","BLITZ","e4","e6","e4_d4_Nc3_exd5_Nf3","e6_d5_c5_exd5_Nc6",1.116733755
"95",TRUE,75,"OUTOFTIME","WHITE","SCOTCH GAME","BLITZ","e4","e5","e4_Nf3_d4_Nxd4_Nc3","e5_Nc6_exd4_Ne5_Bb4",0.929380054
"96",TRUE,135,"MATE","WHITE","FRENCH DEFENSE: ADVANCE VARIATION |  MAIN LINE","BLITZ","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Qb6_Nc6",1.128397918
"97",TRUE,81,"OUTOFTIME","WHITE","PHILIDOR DEFENSE","BLITZ","e4","e5","e4_Nf3_d4_dxe5_Qxd8+","e5_d6_Nc6_dxe5_Kxd8",1.24351585
"98",TRUE,46,"RESIGN","BLACK","GRUENFELD DEFENSE","BLITZ","d4","Nf6","d4_c4_Nc3_c5_Nf3","Nf6_g6_d5_Bg7_O-O",0.9606866
"99",TRUE,70,"MATE","BLACK","FRENCH DEFENSE: KNIGHT VARIATION","BLITZ","e4","e6","e4_Nf3_exd5_d4_c4","e6_d5_exd5_Nf6_c6",0.924189815
"100",TRUE,39,"RESIGN","WHITE","FRENCH DEFENSE: RUBINSTEIN VARIATION |  FORT KNOX VARIATION","BLITZ","e4","e6","e4_d4_Nc3_Nxe4_Nf3","e6_d5_dxe4_Bd7_Bc6",1.00287687
"101",TRUE,91,"RESIGN","WHITE","QUEEN'S GAMBIT DECLINED: TRADITIONAL VARIATION","BLITZ","d4","d5","d4_c4_Nf3_Bg5_e3","d5_e6_Nf6_Be7_c6",0.983428571
"102",TRUE,137,"OUTOFTIME","WHITE","QUEEN'S GAMBIT ACCEPTED: OLD VARIATION","BLITZ","d4","d5","d4_c4_e3_Bxc4_Nf3","d5_dxc4_Nf6_Bf5_e6",1.174176194
"103",TRUE,46,"RESIGN","BLACK","FRENCH DEFENSE: ADVANCE VARIATION |  PAULSEN ATTACK","BLITZ","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Nc6_Qb6",1.00518732
"104",TRUE,18,"RESIGN","BLACK","QUEEN'S GAMBIT DECLINED: SEMI-TARRASCH |  5.CXD5","BLITZ","d4","d5","d4_c4_Nc3_Nf3_cxd5","d5_Nf6_e6_c5_cxd4",1.072348253
"105",TRUE,28,"RESIGN","BLACK","QUEEN'S GAMBIT ACCEPTED: OLD VARIATION","BLITZ","d4","d5","d4_c4_e3_Nc3_Nf3","d5_dxc4_Be6_Nc6_Bg4",1.267191977
"106",TRUE,40,"RESIGN","BLACK","YUSUPOV-RUBINSTEIN SYSTEM","BLITZ","d4","Nf6","d4_Nf3_e3_Bd3_c4","Nf6_e6_b6_Bb7_c5",1.019886364
"107",TRUE,111,"MATE","WHITE","QUEEN'S GAMBIT DECLINED: QUEEN'S KNIGHT VARIATION","STANDARD","d4","d5","d4_c4_Nc3_Qc2_Nf3","d5_e6_Bb4_c5_cxd4",0.963231198
"108",TRUE,54,"MATE","BLACK","RUY LOPEZ: CLASSICAL VARIATION","BLITZ","e4","e5","e4_Nf3_Bb5_Bxc6_h3","e5_Nc6_Bc5_dxc6_Nf6",1.006165919
"109",TRUE,33,"RESIGN","WHITE","QUEEN'S PAWN GAME: ZUKERTORT VARIATION","BLITZ","d4","d5","d4_Nf3_Bf4_e3_Bd3","d5_e6_Nf6_a6_h6",0.945512821
"110",TRUE,90,"RESIGN","BLACK","QUEEN'S PAWN GAME: LONDON SYSTEM","BLITZ","d4","d5","d4_Nf3_Bf4_Ne5_e3","d5_Nf6_Bg4_Bf5_Nbd7",1.036025567
"111",TRUE,90,"RESIGN","BLACK","RUY LOPEZ: CLASSICAL VARIATION |  CENTRAL VARIATION","BLITZ","e4","e5","e4_Nf3_Bb5_c3_O-O","e5_Nc6_Bc5_Qf6_Nge7",1.06561086
"112",TRUE,40,"MATE","BLACK","BISHOP'S OPENING: PONZIANI GAMBIT","BLITZ","e4","e5","e4_Bc4_d4_Qxd4_Qe3","e5_Nf6_exd4_Nc6_Bb4+",1
"113",TRUE,49,"OUTOFTIME","WHITE","BENONI DEFENSE: BENONI-INDIAN DEFENSE |  KINGSIDE MOVE ORDER","BLITZ","d4","Nf6","d4_Nf3_d5_Nc3_e4","Nf6_c5_d6_e5_Be7",0.880490296
"114",TRUE,50,"RESIGN","BLACK","KING'S INDIAN ATTACK: FRENCH VARIATION","BLITZ","Nf3","d5","Nf3_g3_Bg2_d3_O-O","d5_c5_Nc6_Nf6_e5",1.193434936
"115",TRUE,59,"MATE","WHITE","QUEEN'S PAWN GAME: LONDON SYSTEM","BLITZ","d4","d5","d4_Nf3_Bf4_e3_Bb5","d5_Nf6_Nc6_Bf5_e6",1.844324324
"116",TRUE,26,"OUTOFTIME","BLACK","NIMZOWITSCH DEFENSE: MIKENAS VARIATION","STANDARD","d4","d6","d4_e4_d5_Be2_c4","d6_Nc6_Ne5_e6_exd5",1.020508614
"117",TRUE,23,"MATE","WHITE","ITALIAN GAME","STANDARD","e4","e5","e4_Nf3_Bc4_c3_b4","e5_Nc6_Bb4_Bc5_Bb6",1.319218241
"118",TRUE,118,"MATE","BLACK","ALEKHINE DEFENSE #2","STANDARD","e4","Nf6","e4_e5_d4_c3_Nf3","Nf6_Nd5_e6_Be7_d6",1.124063281
"119",TRUE,66,"MATE","BLACK","SICILIAN DEFENSE: NIMZOWITSCH VARIATION","STANDARD","e4","c5","e4_Nf3_d4_dxc5_Qd5","c5_Nf6_Nxe4_Nxc5_e6",0.9453125
"121",TRUE,36,"MATE","BLACK","ITALIAN GAME: TWO KNIGHTS DEFENSE |  FRIED LIVER ATTACK","STANDARD","e4","e5","e4_Nf3_Bc4_Ng5_exd5","e5_Nc6_Nf6_d5_Nxd5",0.909768829
"122",TRUE,26,"MATE","BLACK","ITALIAN GAME: ANTI-FRIED LIVER DEFENSE","STANDARD","e4","e5","e4_Nf3_Bc4_O-O_d3","e5_Nc6_h6_d6_a6",0.908020603
"123",TRUE,62,"RESIGN","BLACK","ITALIAN GAME: TWO KNIGHTS DEFENSE |  FRIED LIVER ATTACK","STANDARD","e4","e5","e4_Nf3_Bc4_Ng5_exd5","e5_Nc6_Nf6_d5_Nxd5",1.031553398
"124",TRUE,37,"RESIGN","WHITE","ALEKHINE DEFENSE: MAROCZY VARIATION","STANDARD","e4","Nf6","e4_d3_a3_exd5_c4","Nf6_e5_d5_Nxd5_Nf4",1.117784711
"125",TRUE,24,"RESIGN","BLACK","QUEEN'S GAMBIT REFUSED: MARSHALL DEFENSE","STANDARD","d4","Nf6","d4_c4_Nc3_e3_a4","Nf6_d5_dxc4_b5_b4",0.887147335
"126",FALSE,47,"RESIGN","WHITE","ITALIAN GAME: ANTI-FRIED LIVER DEFENSE","STANDARD","e4","e5","e4_Nf3_Bc4_d4_dxe5","e5_Nc6_h6_d6_Nxe5",0.975535168
"127",TRUE,37,"RESIGN","BLACK","ALEKHINE DEFENSE: TWO PAWN ATTACK |  LASKER VARIATION","STANDARD","e4","Nf6","e4_e5_c4_c5_d4","Nf6_Nd5_Nb6_Nd5_d6",0.969984202
"128",TRUE,24,"RESIGN","BLACK","CARO-KANN DEFENSE: EXCHANGE VARIATION","STANDARD","e4","c6","e4_d4_exd5_Bd2_Be3","c6_d5_Qa5+_Qxd5_Bf5",0.903477644
"129",TRUE,9,"RESIGN","WHITE","QUEEN'S PAWN GAME #2","STANDARD","d4","d5","d4_e3_c4_Nd2_Qa4+","d5_e6_Bb4+_dxc4_",1.047768207
"130",TRUE,47,"MATE","WHITE","SICILIAN DEFENSE: MODERN VARIATIONS |  MAIN LINE","STANDARD","e4","c5","e4_Nf3_d4_Nxd4_Qe2","c5_d6_cxd4_Nf6_Nbd7",0.945359281
"131",TRUE,85,"MATE","WHITE","ENGLISH OPENING: KING'S ENGLISH VARIATION","STANDARD","c4","e5","c4_g3_cxd5_Nf3_Nc3","e5_d5_Qxd5_g5_Qc6",1.033778476
"132",TRUE,39,"MATE","WHITE","GOLDSMITH DEFENSE","STANDARD","e4","h5","e4_d4_exd5_g4_f3","h5_d5_Qxd5_Bxg4_Bxf3",0.996009577
"133",TRUE,58,"MATE","BLACK","NIMZO-INDIAN DEFENSE","STANDARD","d4","Nf6","d4_c4_Nc3_Bd2_e3","Nf6_e6_Bb4_O-O_d5",1.082725061
"134",TRUE,95,"MATE","WHITE","ITALIAN GAME: TWO KNIGHTS DEFENSE |  FRIED LIVER ATTACK","STANDARD","e4","e5","e4_Nf3_Bc4_Ng5_exd5","e5_Nc6_Nf6_d5_Nxd5",1.028595458
"135",TRUE,2,"RESIGN","BLACK","ALEKHINE DEFENSE","STANDARD","e4","Nf6","e4____","Nf6____",1.198504983
"136",TRUE,97,"MATE","WHITE","QUEEN'S GAMBIT REFUSED: MARSHALL DEFENSE","STANDARD","d4","d5","d4_c4_c5_Nf3_Rxb1","d5_Nf6_Bf5_Bxb1_Nc6",1.009046053
