"","P21","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","op_name"
"16","ITALIAN GAME","FALSE",43,"RESIGN","BLACK","STANDARD","e4","e5","e4_Nf3_Bc4_Ng5_O-O","e5_Nc6_Nf6_Qe7_Nxe4",1.04296160877514,"DEFENSE","ITALIAN GAME"
"17","PHILIDOR DEFENSE","FALSE",101,"RESIGN","BLACK","STANDARD","e4","e5","e4_Nf3_Bc4_d3_dxc4","e5_d6_Be6_Bxc4_c5",0.841538461538462,"DEFENSE","PHILIDOR DEFENSE"
"18","QUEEN'S PAWN GAME","FALSE",25,"RESIGN","WHITE","BLITZ","d4","d5","d4_h3_Nf3_Bg5_Bxf6","d5_Nc6_Nf6_h6_exf6",1.37111517367459,"NO_DEFENSE","QUEEN'S PAWN GAME"
"19","ITALIAN GAME","FALSE",14,"RESIGN","BLACK","STANDARD","e4","e5","e4_Nf3_Bc4_O-O_d3","e5_Nc6_h6_Bc5_Nf6",0.652744630071599,"DEFENSE","ITALIAN GAME"
"20","HORWITZ DEFENSE","FALSE",3,"RESIGN","WHITE","STANDARD","d4","e6","d4_Nc3___","e6____",1.02434456928839,"DEFENSE","HORWITZ DEFENSE"
"21","SICILIAN DEFENSE","FALSE",17,"RESIGN","WHITE","STANDARD","e4","c5","e4_Bc4_Nc3_Nf3_Ng5","c5_Nf6_d6_g6_e6",1.37111517367459,"DEFENSE","SICILIAN DEFENSE"
"22","ENGLISH OPENING","TRUE",36,"RESIGN","WHITE","BLITZ","c4","Nc6","c4_Nc3_g3_Bg2_e3","Nc6_e5_Bc5_Nge7_b6",1.18173598553345,"NO_DEFENSE","ENGLISH OPENING"
"23","SICILIAN DEFENSE","TRUE",13,"RESIGN","BLACK","BLITZ","e4","c5","e4_d4_Qxd4_Qa4_Be3","c5_cxd4_Nc6_e5_Nf6",0.782150386507379,"DEFENSE","SICILIAN DEFENSE"
"24","SCOTCH GAME","TRUE",43,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_d4_Bc4_c3","e5_Nc6_exd4_Bc5_dxc3",1.69138090824838,"NO_DEFENSE","SCOTCH GAME"
"25","QUEEN'S PAWN GAME","TRUE",54,"MATE","BLACK","BLITZ","d4","d5","d4_Nc3_Nf3_e3_h4","d5_Nf6_Nc6_Bf5_e6",1.27938342967245,"NO_DEFENSE","QUEEN'S PAWN GAME"
"26","SLAV DEFENSE","TRUE",53,"RESIGN","BLACK","BLITZ","d4","d5","d4_c4_e3_Bxc4_Nc3","d5_c6_dxc4_Nf6_e6",0.913494809688581,"DEFENSE","SLAV DEFENSE"
"27","QUEEN'S GAMBIT REFUSED","TRUE",66,"MATE","BLACK","BLITZ","d4","d5","d4_c4_Nc3_Nf3_e3","d5_Nf6_Nc6_e6_Bd6",0.93815331010453,"DEFENSE","QUEEN'S GAMBIT REFUSED"
"28","SICILIAN DEFENSE","TRUE",64,"RESIGN","BLACK","BLITZ","e4","c5","e4_d4_Qxd4_Qa4_Nc3","c5_cxd4_Nc6_Nf6_g6",1.31081081081081,"DEFENSE","SICILIAN DEFENSE"
"29","SICILIAN DEFENSE","TRUE",64,"MATE","BLACK","BLITZ","e4","c5","e4_Nf3_Bb5+_Bxd7+_O-O","c5_d6_Bd7_Nxd7_Ngf6",1.19760479041916,"DEFENSE","SICILIAN DEFENSE"
"30","SICILIAN DEFENSE","TRUE",54,"RESIGN","WHITE","BLITZ","e4","c5","e4_Nf3_exd5_Nc3_Qe2","c5_d5_Qxd5_Qe6+_Qxe2+",1.18056918547596,"DEFENSE","SICILIAN DEFENSE"
"31","QUEEN'S GAMBIT ACCEPTED","FALSE",21,"RESIGN","BLACK","STANDARD","d4","d5","d4_c4_e4_Na3_Qf3","d5_dxc4_b5_a6_f6",0.679333333333333,"NO_DEFENSE","QUEEN'S GAMBIT ACCEPTED"
"32","SICILIAN DEFENSE","FALSE",11,"RESIGN","WHITE","STANDARD","e4","c5","e4_Bc4_d3_Nf3_Ng5","c5_Nf6_d6_g6_Bg7",1.45846153846154,"DEFENSE","SICILIAN DEFENSE"
"33","ROBATSCH (MODERN) DEFENSE","TRUE",19,"RESIGN","BLACK","BLITZ","d4","g6","d4_e4_Bf4_Bc4_Nf3","g6_Bg7_e6_Ne7_h6",0.532751091703057,"DEFENSE","OTHER"
"34","BLACKMAR-DIEMER GAMBIT","TRUE",28,"RESIGN","WHITE","BLITZ","d4","d5","d4_e4_Nc3_f3_Nxf3","d5_dxe4_Nf6_exf3_Bf5",1.60429447852761,"NO_DEFENSE","OTHER"
"35","INDIAN GAME","FALSE",22,"RESIGN","BLACK","STANDARD","d4","Nf6","d4_Nc3_d5_e4_Nf3","Nf6_d6_g6_Bg7_O-O",0.652,"NO_DEFENSE","INDIAN GAME"
"36","SICILIAN DEFENSE","FALSE",37,"RESIGN","WHITE","STANDARD","e4","c5","e4_Nf3_d4_Nxd4_Nc3","c5_d6_cxd4_Nf6_g6",1.53374233128834,"DEFENSE","SICILIAN DEFENSE"
"37","ENGLISH OPENING","FALSE",34,"RESIGN","WHITE","STANDARD","c4","e5","c4_Nc3_g3_Bg2_Nf3","e5_Bc5_Nc6_Nf6_b6",2.5040899795501,"NO_DEFENSE","ENGLISH OPENING"
"38","SICILIAN DEFENSE","FALSE",32,"DRAW","DRAW","STANDARD","e4","c5","e4_Nf3_d4_Nxd4_Nc3","c5_d6_cxd4_Nf6_g6",1.23415132924335,"DEFENSE","SICILIAN DEFENSE"
"39","SICILIAN DEFENSE","FALSE",71,"RESIGN","BLACK","BLITZ","e4","c5","e4_Nc3_Bc4_Qe2_e5","c5_d6_Nf6_g6_dxe5",1.26891615541922,"DEFENSE","SICILIAN DEFENSE"
"40","SICILIAN DEFENSE","FALSE",30,"RESIGN","WHITE","STANDARD","e4","c5","e4_d4_Qxd4_Qa4_Nf3","c5_cxd4_Nc6_Nf6_g6",1.53374233128834,"DEFENSE","SICILIAN DEFENSE"
"41","SICILIAN DEFENSE","FALSE",41,"RESIGN","WHITE","STANDARD","e4","c5","e4_d4_Qxd4_Qe3_e5","c5_cxd4_Nc6_Nf6_Qa5+",1.53374233128834,"DEFENSE","SICILIAN DEFENSE"
"42","SICILIAN DEFENSE","FALSE",49,"RESIGN","WHITE","STANDARD","e4","c5","e4_Bc4_Nc3_d3_Nge2","c5_Nc6_d6_Nf6_g6",1.53374233128834,"DEFENSE","SICILIAN DEFENSE"
"43","SCANDINAVIAN DEFENSE","FALSE",3,"RESIGN","BLACK","STANDARD","e4","d5","e4_exd5___","d5____",0.652,"DEFENSE","SCANDINAVIAN DEFENSE"
"44","SICILIAN DEFENSE","FALSE",7,"RESIGN","WHITE","BLITZ","e4","c5","e4_Bc4_e5_Nf3_","c5_Nf6_Ne4__",1.37321063394683,"DEFENSE","SICILIAN DEFENSE"
"45","FRENCH DEFENSE","FALSE",5,"RESIGN","BLACK","BLITZ","d4","e6","d4_e4_Nc3__","e6_Qh4___",0.652,"DEFENSE","FRENCH DEFENSE"
"46","KING'S PAWN GAME","FALSE",7,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_Nf3_Nxe5_","e5_d5_dxe4__",1.53374233128834,"NO_DEFENSE","KING'S PAWN GAME"
"47","DUTCH DEFENSE","FALSE",53,"MATE","WHITE","BLITZ","d4","f5","d4_e3_Nc3_Bb5+_Bd3","f5_Nf6_d5_c6_b5",0.652,"DEFENSE","DUTCH DEFENSE"
"48","ZUKERTORT OPENING","TRUE",8,"RESIGN","WHITE","STANDARD","Nf3","e5","Nf3_Nxe5_e4_d4_","e5_Ke7_Kd6_Nc6_",1.30895008605852,"NO_DEFENSE","ZUKERTORT OPENING"
"49","SICILIAN DEFENSE","TRUE",3,"RESIGN","WHITE","BLITZ","e4","c5","e4_Nc3___","c5____",0.938,"DEFENSE","SICILIAN DEFENSE"
"50","VIENNA GAME","TRUE",28,"RESIGN","WHITE","BLITZ","e4","e5","e4_a3_Nc3_exd5_Nxd5","e5_Nf6_d5_Nxd5_Qxd5",1.02331961591221,"NO_DEFENSE","VIENNA GAME"
"51","PHILIDOR DEFENSE","TRUE",30,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_d4_Nxd4_Bc4","e5_d6_exd4_g6_Nf6",0.980582524271845,"DEFENSE","PHILIDOR DEFENSE"
"52","SCOTCH GAME","TRUE",44,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_d4_c3_d5","e5_Nc6_Bb4+_Bd6_Nce7",1.12596599690881,"NO_DEFENSE","SCOTCH GAME"
"53","PHILIDOR DEFENSE","TRUE",29,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_Bc4_exf5_Nc3","e5_d6_f5_Bxf5_e4",1.04024556616644,"DEFENSE","PHILIDOR DEFENSE"
"54","FRENCH DEFENSE","TRUE",37,"RESIGN","BLACK","BLITZ","e4","e6","e4_Nf3_exd5_d4_c4","e6_d5_exd5_Bg4_Bb4+",0.764407853071564,"DEFENSE","FRENCH DEFENSE"
"55","MODERN DEFENSE","TRUE",49,"RESIGN","WHITE","BLITZ","d4","g6","d4_Nf3_Bf4_e3_c3","g6_Bg7_d6_Nd7_e5",0.996185632549269,"DEFENSE","MODERN DEFENSE"
"56","HORWITZ DEFENSE","TRUE",32,"RESIGN","BLACK","BLITZ","d4","e6","d4_Bf4_c3_b3_cxd4","e6_c5_Qb6_cxd4_Bb4+",0.983177570093458,"DEFENSE","HORWITZ DEFENSE"
"57","BLUMENFELD COUNTERGAMBIT","TRUE",25,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_c4_Nf3_d5_cxd5","Nf6_e6_c5_exd5_c4",1.22643896268185,"NO_DEFENSE","OTHER"
"58","FRENCH DEFENSE","TRUE",40,"MATE","BLACK","BLITZ","e4","e6","e4_Bc4_exd5_Bb3_Ne2","e6_d5_exd5_Qe7+_Nf6",1.03188775510204,"DEFENSE","FRENCH DEFENSE"
"59","ZUKERTORT OPENING","TRUE",39,"RESIGN","WHITE","BLITZ","Nf3","g6","Nf3_g3_Bg2_O-O_c3","g6_Bg7_e6_Ne7_c5",1.11499364675985,"NO_DEFENSE","ZUKERTORT OPENING"
"60","INDIAN GAME","TRUE",57,"RESIGN","WHITE","STANDARD","d4","Nf6","d4_Bf4_e3_exd4_Nf3","Nf6_c5_cxd4_d5_Bg4",0.978070175438597,"NO_DEFENSE","INDIAN GAME"
"61","FRENCH DEFENSE","TRUE",78,"RESIGN","BLACK","BLITZ","e4","e6","e4_Nc3_Nge2_a3_Nxc3","e6_Bb4_Ne7_Bxc3_d5",0.965250965250965,"DEFENSE","FRENCH DEFENSE"
"62","QUEEN'S PAWN GAME","TRUE",61,"RESIGN","WHITE","STANDARD","d4","d5","d4_Bf4_Nf3_c3_e3","d5_e6_c5_Nc6_Nf6",1.05681040383299,"NO_DEFENSE","QUEEN'S PAWN GAME"
"63","QUEEN'S PAWN GAME","TRUE",44,"RESIGN","BLACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nc6_f6_g5_a6",1.17078651685393,"NO_DEFENSE","QUEEN'S PAWN GAME"
"64","QUEEN'S PAWN","TRUE",62,"MATE","BLACK","STANDARD","d4","d6","d4_Bf4_Nf3_e3_Nbd2","d6_e6_Nc6_Nf6_d5",1.07414965986395,"NO_DEFENSE","QUEEN'S PAWN"
"65","INDIAN GAME","TRUE",87,"MATE","WHITE","STANDARD","d4","Nf6","d4_e3_f4_Nf3_c4","Nf6_g6_Bg7_d5_O-O",1.01698113207547,"NO_DEFENSE","INDIAN GAME"
"66","FRENCH DEFENSE","TRUE",54,"MATE","BLACK","STANDARD","e4","e6","e4_d4_e5_dxc5_Nf3","e6_d5_c5_Bxc5_Nc6",0.76007556675063,"DEFENSE","FRENCH DEFENSE"
"67","QUEEN'S PAWN GAME","TRUE",54,"RESIGN","BLACK","STANDARD","d4","d5","d4_Bf4_e3_Nf3_h3","d5_Nc6_Nf6_Bg4_Bh5",1.03102779573368,"NO_DEFENSE","QUEEN'S PAWN GAME"
"68","FRENCH DEFENSE","TRUE",37,"RESIGN","WHITE","STANDARD","e4","e6","e4_d4_exd5_Bd3_h3","e6_d5_exd5_Bd6_Ne7",1.16010006253909,"DEFENSE","FRENCH DEFENSE"
"69","HORWITZ DEFENSE","TRUE",50,"RESIGN","WHITE","STANDARD","d4","e6","d4_Bf4_Nf3_e4_Qd2","e6_h6_d6_Qf6_Nc6",1.02714932126697,"DEFENSE","HORWITZ DEFENSE"
"70","QUEEN'S PAWN GAME","TRUE",131,"RESIGN","WHITE","STANDARD","d4","Nf6","d4_Bf4_Nf3_c4_Bg3","Nf6_d5_e6_Bd6_Bxg3",0.909143518518518,"NO_DEFENSE","QUEEN'S PAWN GAME"
"71","FRENCH DEFENSE","TRUE",48,"RESIGN","WHITE","STANDARD","e4","e6","e4_Qe2_Nf3_g3_Bg2","e6_c5_Nc6_g6_Bg7",1.08929702343255,"DEFENSE","FRENCH DEFENSE"
"72","QUEEN'S PAWN GAME","TRUE",47,"RESIGN","BLACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nf6_e6_Bd6_O-O",0.750118764845606,"NO_DEFENSE","QUEEN'S PAWN GAME"
"73","FRENCH DEFENSE","TRUE",64,"MATE","BLACK","STANDARD","e4","e6","e4_f4_e5_Nf3_c3","e6_d5_c5_Nc6_Nh6",1.13333333333333,"DEFENSE","FRENCH DEFENSE"
"74","QUEEN'S PAWN GAME","TRUE",61,"RESIGN","WHITE","STANDARD","d4","d5","d4_Bf4_e3_Nf3_c4","d5_Nf6_g6_Bg7_dxc4",1.08077994428969,"NO_DEFENSE","QUEEN'S PAWN GAME"
"75","QUEEN'S PAWN GAME","TRUE",57,"MATE","WHITE","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_h3","Nf6_d5_Nc6_Bg4_Bh5",0.921415716856629,"NO_DEFENSE","QUEEN'S PAWN GAME"
"76","ENGLISH OPENING","TRUE",51,"RESIGN","WHITE","STANDARD","c4","Nc6","c4_d4_e3_Nc3_Bd2","Nc6_g6_Bg7_d6_Bf5",0.981923821820529,"NO_DEFENSE","ENGLISH OPENING"
"77","CRAB OPENING","TRUE",58,"MATE","BLACK","STANDARD","a4","e5","a4_h4_b3_e3_Bb5","e5_d5_Nc6_Bf5_Ne7",0.809708737864078,"NO_DEFENSE","OTHER"
"78","QUEEN'S PAWN GAME","TRUE",71,"RESIGN","WHITE","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_Nc6_f6_g5_Be6",1.09161931818182,"NO_DEFENSE","QUEEN'S PAWN GAME"
"79","QUEEN'S PAWN","TRUE",114,"RESIGN","WHITE","STANDARD","d4","c6","d4_Bf4_Nf3_Nbd2_e3","c6_e6_d5_c5_cxd4",1.00661375661376,"NO_DEFENSE","QUEEN'S PAWN"
"80","FRENCH DEFENSE","TRUE",39,"RESIGN","WHITE","STANDARD","e4","e6","e4_d4_Nc3_e5_a3","e6_d5_Bb4_c5_Bxc3+",1.04569190600522,"DEFENSE","FRENCH DEFENSE"
"81","QUEEN'S PAWN GAME","TRUE",20,"RESIGN","BLACK","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_Nbd2","Nf6_d5_Bf5_c6_Qb6",0.968612680477087,"NO_DEFENSE","QUEEN'S PAWN GAME"
"82","QUEEN'S PAWN GAME","TRUE",48,"RESIGN","BLACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bg3","d5_e6_c5_Bd6_Bxg3",1.01104613385315,"NO_DEFENSE","QUEEN'S PAWN GAME"
"83","FRENCH DEFENSE","TRUE",34,"MATE","BLACK","STANDARD","e4","e6","e4_Nf3_exd5_d4_Be2","e6_d5_exd5_Bg4_Qe7",0.910206718346253,"DEFENSE","FRENCH DEFENSE"
"84","QUEEN'S PAWN GAME","TRUE",51,"RESIGN","WHITE","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Bd3","d5_Nf6_h6_e6_Nc6",1.08533145275035,"NO_DEFENSE","QUEEN'S PAWN GAME"
"85","FRENCH DEFENSE","TRUE",69,"RESIGN","WHITE","STANDARD","e4","e6","e4_Nc3_exd5_Nf3_Bb5+","e6_d5_exd5_Nf6_c6",1.0341935483871,"DEFENSE","FRENCH DEFENSE"
"86","QUEEN'S PAWN GAME","TRUE",28,"RESIGN","WHITE","STANDARD","d4","d5","d4_Bf4_e3_exd4_Nf3","d5_c5_cxd4_e6_Nc6",1.10221586847748,"NO_DEFENSE","QUEEN'S PAWN GAME"
"87","QUEEN'S PAWN GAME","TRUE",62,"RESIGN","BLACK","STANDARD","d4","d5","d4_Bf4_Nf3_e3_Nbd2","d5_Nf6_c5_Bg4_cxd4",0.823654768247203,"NO_DEFENSE","QUEEN'S PAWN GAME"
"88","QUEEN'S INDIAN DEFENSE","TRUE",62,"MATE","BLACK","STANDARD","d4","Nf6","d4_Nf3_c3_Qb3_Ne5","Nf6_b6_Bb7_e6_Nc6",0.738762214983713,"DEFENSE","OTHER"
"89","HORWITZ DEFENSE","TRUE",85,"MATE","WHITE","STANDARD","d4","e6","d4_Bf4_Nf3_e3_c3","e6_d5_Qe7_c5_cxd4",0.848094170403587,"DEFENSE","HORWITZ DEFENSE"
"90","QUEEN'S PAWN GAME","TRUE",38,"RESIGN","WHITE","STANDARD","d4","Nf6","d4_Bf4_Nf3_e3_Bg3","Nf6_d5_Nc6_Nh5_Nxg3",1.03875432525952,"NO_DEFENSE","QUEEN'S PAWN GAME"
"91","ITALIAN GAME","FALSE",14,"RESIGN","WHITE","STANDARD","e4","e5","e4_Bc4_d3_Nf3_Ng5","e5_Nc6_Nf6_Bc5_d6",1,"NO_DEFENSE","ITALIAN GAME"
"92","QUEEN'S GAMBIT REFUSED","TRUE",113,"DRAW","DRAW","STANDARD","d4","d5","d4_c4_Nc3_Bf4_Nf3","d5_Nf6_Bf5_a6_e6",1.01808634772462,"DEFENSE","QUEEN'S GAMBIT REFUSED"
"93","QUEEN'S GAMBIT REFUSED","TRUE",62,"RESIGN","WHITE","STANDARD","d4","d5","d4_c4_Nc3_e3_Nf3","d5_Nf6_dxc4_Be6_a6",0.991990846681922,"DEFENSE","QUEEN'S GAMBIT REFUSED"
"94","FRENCH DEFENSE","TRUE",101,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_Nc3_exd5_Nf3","e6_d5_c5_exd5_Nc6",1.11673375503163,"DEFENSE","FRENCH DEFENSE"
"95","SCOTCH GAME","TRUE",75,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_Nf3_d4_Nxd4_Nc3","e5_Nc6_exd4_Ne5_Bb4",0.929380053908356,"NO_DEFENSE","SCOTCH GAME"
"96","FRENCH DEFENSE","TRUE",135,"MATE","WHITE","BLITZ","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Qb6_Nc6",1.1283979178716,"DEFENSE","FRENCH DEFENSE"
"97","PHILIDOR DEFENSE","TRUE",81,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_Nf3_d4_dxe5_Qxd8+","e5_d6_Nc6_dxe5_Kxd8",1.24351585014409,"DEFENSE","PHILIDOR DEFENSE"
"98","GRUENFELD DEFENSE","TRUE",46,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_c4_Nc3_c5_Nf3","Nf6_g6_d5_Bg7_O-O",0.960686600221484,"DEFENSE","GRUENFELD DEFENSE"
"99","FRENCH DEFENSE","TRUE",70,"MATE","BLACK","BLITZ","e4","e6","e4_Nf3_exd5_d4_c4","e6_d5_exd5_Nf6_c6",0.924189814814815,"DEFENSE","FRENCH DEFENSE"
"100","FRENCH DEFENSE","TRUE",39,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_Nc3_Nxe4_Nf3","e6_d5_dxe4_Bd7_Bc6",1.00287686996548,"DEFENSE","FRENCH DEFENSE"
"101","QUEEN'S GAMBIT DECLINED","TRUE",91,"RESIGN","WHITE","BLITZ","d4","d5","d4_c4_Nf3_Bg5_e3","d5_e6_Nf6_Be7_c6",0.983428571428571,"NO_DEFENSE","QUEEN'S GAMBIT DECLINED"
"102","QUEEN'S GAMBIT ACCEPTED","TRUE",137,"OUTOFTIME","WHITE","BLITZ","d4","d5","d4_c4_e3_Bxc4_Nf3","d5_dxc4_Nf6_Bf5_e6",1.17417619367855,"NO_DEFENSE","QUEEN'S GAMBIT ACCEPTED"
"103","FRENCH DEFENSE","TRUE",46,"RESIGN","BLACK","BLITZ","e4","e6","e4_d4_e5_c3_Nf3","e6_d5_c5_Nc6_Qb6",1.00518731988473,"DEFENSE","FRENCH DEFENSE"
"104","QUEEN'S GAMBIT DECLINED","TRUE",18,"RESIGN","BLACK","BLITZ","d4","d5","d4_c4_Nc3_Nf3_cxd5","d5_Nf6_e6_c5_cxd4",1.07234825260576,"NO_DEFENSE","QUEEN'S GAMBIT DECLINED"
"105","QUEEN'S GAMBIT ACCEPTED","TRUE",28,"RESIGN","BLACK","BLITZ","d4","d5","d4_c4_e3_Nc3_Nf3","d5_dxc4_Be6_Nc6_Bg4",1.26719197707736,"NO_DEFENSE","QUEEN'S GAMBIT ACCEPTED"
"106","YUSUPOV-RUBINSTEIN SYSTEM","TRUE",40,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_Nf3_e3_Bd3_c4","Nf6_e6_b6_Bb7_c5",1.01988636363636,"NO_DEFENSE","OTHER"
"107","QUEEN'S GAMBIT DECLINED","TRUE",111,"MATE","WHITE","STANDARD","d4","d5","d4_c4_Nc3_Qc2_Nf3","d5_e6_Bb4_c5_cxd4",0.963231197771588,"NO_DEFENSE","QUEEN'S GAMBIT DECLINED"
"108","RUY LOPEZ","TRUE",54,"MATE","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5_Bxc6_h3","e5_Nc6_Bc5_dxc6_Nf6",1.00616591928251,"NO_DEFENSE","RUY LOPEZ"
"109","QUEEN'S PAWN GAME","TRUE",33,"RESIGN","WHITE","BLITZ","d4","d5","d4_Nf3_Bf4_e3_Bd3","d5_e6_Nf6_a6_h6",0.94551282051282,"NO_DEFENSE","QUEEN'S PAWN GAME"
"110","QUEEN'S PAWN GAME","TRUE",90,"RESIGN","BLACK","BLITZ","d4","d5","d4_Nf3_Bf4_Ne5_e3","d5_Nf6_Bg4_Bf5_Nbd7",1.03602556653109,"NO_DEFENSE","QUEEN'S PAWN GAME"
"111","RUY LOPEZ","TRUE",90,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Bb5_c3_O-O","e5_Nc6_Bc5_Qf6_Nge7",1.06561085972851,"NO_DEFENSE","RUY LOPEZ"
"112","BISHOP'S OPENING","TRUE",40,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_d4_Qxd4_Qe3","e5_Nf6_exd4_Nc6_Bb4+",1,"NO_DEFENSE","BISHOP'S OPENING"
"113","BENONI DEFENSE","TRUE",49,"OUTOFTIME","WHITE","BLITZ","d4","Nf6","d4_Nf3_d5_Nc3_e4","Nf6_c5_d6_e5_Be7",0.880490296220633,"DEFENSE","BENONI DEFENSE"
"114","KING'S INDIAN ATTACK","TRUE",50,"RESIGN","BLACK","BLITZ","Nf3","d5","Nf3_g3_Bg2_d3_O-O","d5_c5_Nc6_Nf6_e5",1.19343493552169,"NO_DEFENSE","KING'S INDIAN ATTACK"
"115","QUEEN'S PAWN GAME","TRUE",59,"MATE","WHITE","BLITZ","d4","d5","d4_Nf3_Bf4_e3_Bb5","d5_Nf6_Nc6_Bf5_e6",1.84432432432432,"NO_DEFENSE","QUEEN'S PAWN GAME"
"116","NIMZOWITSCH DEFENSE","TRUE",26,"OUTOFTIME","BLACK","STANDARD","d4","d6","d4_e4_d5_Be2_c4","d6_Nc6_Ne5_e6_exd5",1.02050861361772,"DEFENSE","NIMZOWITSCH DEFENSE"
"117","ITALIAN GAME","TRUE",23,"MATE","WHITE","STANDARD","e4","e5","e4_Nf3_Bc4_c3_b4","e5_Nc6_Bb4_Bc5_Bb6",1.31921824104235,"NO_DEFENSE","ITALIAN GAME"
