"X","op_name","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","WOE_Opening_Name","rating_bins","ID_unit","Prob","Stratum"
83,"ALEKHINE DEFENSE",FALSE,106,"MATE","BLACK","BLITZ","e4","Nf6","e4_Nc3_e5_Nge2_d4","Nf6_d5_Ne4_Bf5_e6",0.803713527851459,"DEFENSE",0.214844748499515,"Black Favoured",83,0.75,1
95,"ALEKHINE DEFENSE",TRUE,63,"RESIGN","WHITE","BLITZ","e4","Nf6","e4_e5_c4_d4_f4","Nf6_Nd5_Nb6_d6_dxe5",0.887845849802372,"DEFENSE",0.214844748499515,"Black Favoured",95,0.75,1
100,"ALEKHINE DEFENSE",TRUE,62,"MATE","BLACK","BLITZ","e4","Nf6","e4_e5_c4_d4_f4","Nf6_Nd5_Nb6_d6_dxe5",0.853242320819113,"DEFENSE",0.214844748499515,"Black Favoured",100,0.75,1
110,"ALEKHINE DEFENSE",TRUE,2,"RESIGN","BLACK","BLITZ","e4","Nf6","e4____","Nf6____",0.763603925066905,"DEFENSE",0.214844748499515,"Black Favoured",110,0.75,1
122,"ALEKHINE DEFENSE",TRUE,82,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_Nc3_exd5_Nxd5_d4","Nf6_d5_Nxd5_Qxd5_Nc6",0.887076537013802,"DEFENSE",0.214844748499515,"Black Favoured",122,0.75,1
134,"ALEKHINE DEFENSE",TRUE,58,"MATE","BLACK","STANDARD","e4","Nf6","e4_e5_Qf3_Bc4_a3","Nf6_Nd5_e6_Nc6_Nxe5",0.766643307638402,"DEFENSE",0.214844748499515,"Black Favoured",134,0.75,1
154,"ALEKHINE DEFENSE",TRUE,40,"RESIGN","BLACK","BLITZ","e4","Nf6","e4_Nc3_e5_exf6_fxe7","Nf6_d5_d4_dxc3_cxd2+",0.810245687401986,"DEFENSE",0.214844748499515,"Black Favoured",154,0.75,1
162,"BENONI DEFENSE",TRUE,38,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_c4_d5_Nc3_cxd5","Nf6_c5_e6_exd5_d6",0.870879120879121,"DEFENSE",-0.255652829879504,"Black Favoured",162,0.75,1
169,"BENONI DEFENSE",TRUE,49,"OUTOFTIME","WHITE","BLITZ","d4","Nf6","d4_Nf3_d5_Nc3_e4","Nf6_c5_d6_e5_Be7",0.880490296220633,"DEFENSE",-0.255652829879504,"Black Favoured",169,0.75,1
175,"BENONI DEFENSE",TRUE,52,"OUTOFTIME","BLACK","BLITZ","d4","Nf6","d4_c4_e3_Nf3_Nc3","Nf6_c5_d5_e6_dxc4",0.853400735294118,"DEFENSE",-0.255652829879504,"Black Favoured",175,0.75,1
195,"BENONI DEFENSE",FALSE,30,"OUTOFTIME","BLACK","BLITZ","d4","Nf6","d4_c4_d5_Nc3_cxd5","Nf6_c5_e6_exd5_d6",0.657318141980719,"DEFENSE",-0.255652829879504,"Black Favoured",195,0.75,1
199,"BENONI DEFENSE",TRUE,84,"RESIGN","BLACK","BLITZ","d4","c5","d4_dxc5_Nf3_e4_Nbd2","c5_e6_Bxc5_Nf6_Qb6",0.732876712328767,"DEFENSE",-0.255652829879504,"Black Favoured",199,0.75,1
208,"BIRD OPENING",TRUE,4,"MATE","BLACK","BLITZ","f4","e6","f4_g4___","e6_Qh4#___",0.820526598602902,"NO_DEFENSE",-0.246860077931526,"Black Favoured",208,0.75,1
233,"BIRD OPENING",TRUE,24,"MATE","BLACK","BLITZ","f4","d5","f4_d4_c4_cxd5_e4","d5_c6_Nf6_Qxd5_Qxe4+",0.855181880576527,"NO_DEFENSE",-0.246860077931526,"Black Favoured",233,0.75,1
242,"BIRD OPENING",TRUE,98,"MATE","BLACK","BLITZ","f4","b6","f4_e4_Nc3_Nf3_g4","b6_Bb7_e6_Ne7_a6",0.740537848605578,"NO_DEFENSE",-0.246860077931526,"Black Favoured",242,0.75,1
243,"BIRD OPENING",TRUE,12,"RESIGN","BLACK","STANDARD","f4","e5","f4_g4_e4_Ke2_Kd3","e5_Bc5_Qh4+_Qf2+_Qh4",0.612297734627832,"NO_DEFENSE",-0.246860077931526,"Black Favoured",243,0.75,1
248,"BIRD OPENING",TRUE,96,"RESIGN","BLACK","BLITZ","f4","e6","f4_Nf3_e3_d4_a3","e6_d5_Bd6_Nf6_c5",0.895203336809176,"NO_DEFENSE",-0.246860077931526,"Black Favoured",248,0.75,1
262,"BIRD OPENING",FALSE,4,"MATE","BLACK","BLITZ","f4","e5","f4_g4___","e5_Qh4#___",0.820120284308365,"NO_DEFENSE",-0.246860077931526,"Black Favoured",262,0.75,1
282,"BIRD OPENING",TRUE,38,"MATE","BLACK","BLITZ","f4","e5","f4_fxe5_exd6_g3_e3","e5_d6_Bxd6_Qg5_Bxg3+",0.845121951219512,"NO_DEFENSE",-0.246860077931526,"Black Favoured",282,0.75,1
291,"BIRD OPENING",TRUE,29,"OUTOFTIME","WHITE","BLITZ","f4","b6","f4_e4_Bb5+_Bxd7+_f5","b6_d6_Qd7_Bxd7_e5",0.828152492668622,"NO_DEFENSE",-0.246860077931526,"Black Favoured",291,0.75,1
296,"BIRD OPENING",TRUE,108,"MATE","BLACK","BLITZ","f4","d5","f4_d4_b4_b5_Bd2","d5_Nf6_Nc6_Na5_Nc4",0.797454344216934,"NO_DEFENSE",-0.246860077931526,"Black Favoured",296,0.75,1
336,"BISHOP'S OPENING",TRUE,40,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_Nf3_O-O_d4","e5_Qf6_Bc5_d6_Bxd4",0.815438596491228,"NO_DEFENSE",0.359244538500363,"Black Favoured",336,0.75,1
339,"BISHOP'S OPENING",FALSE,10,"RESIGN","BLACK","STANDARD","e4","e5","e4_Bc4_Qf3_g4_Qf5","e5_Nf6_Nc6_Nd4_Nxf5",0.675177304964539,"DEFENSE",0.359244538500363,"Black Favoured",339,0.75,1
345,"BISHOP'S OPENING",TRUE,47,"RESIGN","WHITE","BLITZ","e4","e5","e4_Bc4_d3_Bxd5_exd5","e5_Nf6_d5_Nxd5_Qxd5",0.889994148624927,"DEFENSE",0.359244538500363,"Black Favoured",345,0.75,1
352,"BISHOP'S OPENING",TRUE,13,"MATE","WHITE","BLITZ","e4","e5","e4_Bc4_Qf3_Qh5+_Qf3","e5_Nc6_f6_g6_Nge7",0.653194263363755,"NO_DEFENSE",0.359244538500363,"Black Favoured",352,0.75,1
362,"BISHOP'S OPENING",FALSE,36,"RESIGN","WHITE","BLITZ","e4","e5","e4_Bc4_d3_exd5_Qf3","e5_Nf6_d5_Nxd5_Be6",0.831485587583149,"DEFENSE",0.359244538500363,"Black Favoured",362,0.75,1
363,"BISHOP'S OPENING",TRUE,128,"MATE","BLACK","STANDARD","e4","e5","e4_Bc4_Qf3_d3_Ne2","e5_d6_f6_h6_Nc6",0.875808538163001,"NO_DEFENSE",0.359244538500363,"Black Favoured",363,0.75,1
375,"BISHOP'S OPENING",TRUE,32,"MATE","BLACK","STANDARD","e4","e5","e4_Bc4_Bxf7+_Qf3+_Qb3+","e5_c6_Kxf7_Qf6_Ke8",0.694271128757799,"NO_DEFENSE",0.359244538500363,"Black Favoured",375,0.75,1
383,"BISHOP'S OPENING",TRUE,22,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_Qxf5_Nh3","e5_Nc6_f5_Nf6_d5",0.585894206549118,"NO_DEFENSE",0.359244538500363,"Black Favoured",383,0.75,1
388,"BISHOP'S OPENING",TRUE,28,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_a3_d3_exd5","e5_Nc6_Nf6_d5_Nxd5",0.884326200115674,"NO_DEFENSE",0.359244538500363,"Black Favoured",388,0.75,1
391,"BISHOP'S OPENING",TRUE,98,"OUTOFTIME","BLACK","BLITZ","e4","e5","e4_Bc4_Nc3_Qe2_Nd5","e5_Qf6_Bc5_d6_Qf4",0.839966832504146,"NO_DEFENSE",0.359244538500363,"Black Favoured",391,0.75,1
396,"BISHOP'S OPENING",FALSE,96,"RESIGN","BLACK","STANDARD","e4","e5","e4_Bc4_Qf3_d3_Bxh6","e5_c5_Nh6_Qe7_gxh6",0.870424597364568,"NO_DEFENSE",0.359244538500363,"Black Favoured",396,0.75,1
400,"BISHOP'S OPENING",FALSE,18,"RESIGN","BLACK","STANDARD","e4","e5","e4_Bc4_Qh5_Nf3_d4","e5_Bc5_Qf6_d6_exd4",0.89126559714795,"NO_DEFENSE",0.359244538500363,"Black Favoured",400,0.75,1
407,"BISHOP'S OPENING",FALSE,112,"OUTOFTIME","BLACK","STANDARD","e4","e5","e4_Bc4_Bb3_Nf3_O-O","e5_b5_Nf6_Nxe4_Qe7",0.782635467980296,"NO_DEFENSE",0.359244538500363,"Black Favoured",407,0.75,1
410,"BISHOP'S OPENING",FALSE,15,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_d3_Qh5+","e5_d6_f6_Nh6_g6",0.890666666666667,"NO_DEFENSE",0.359244538500363,"Black Favoured",410,0.75,1
429,"BISHOP'S OPENING",TRUE,15,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Bxf7+_Qh5+_Qf3+","e5_Nc6_Kxf7_g6_Qf6",0.873033707865169,"NO_DEFENSE",0.359244538500363,"Black Favoured",429,0.75,1
438,"BISHOP'S OPENING",TRUE,108,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_Be2_Bh5_Bg4","e5_d5_dxe4_g6_f5",0.761560693641618,"NO_DEFENSE",0.359244538500363,"Black Favoured",438,0.75,1
441,"BISHOP'S OPENING",FALSE,26,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_d4_Qxd4_Qd1","e5_Nf6_exd4_Nc6_Bc5",0.607909604519774,"NO_DEFENSE",0.359244538500363,"Black Favoured",441,0.75,1
445,"BISHOP'S OPENING",TRUE,106,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_d3_Be3","e5_Bc5_Nf6_Nc6_Bxe3",0.713446858485026,"NO_DEFENSE",0.359244538500363,"Black Favoured",445,0.75,1
450,"BISHOP'S OPENING",TRUE,78,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_Nh3_Qxh3","e5_d6_Nf6_Bxh3_Nxe4",0.837310195227766,"NO_DEFENSE",0.359244538500363,"Black Favoured",450,0.75,1
461,"BISHOP'S OPENING",TRUE,70,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_f3_c3_a4","e5_Bc5_d6_Nc6_a6",0.841046277665996,"NO_DEFENSE",0.359244538500363,"Black Favoured",461,0.75,1
463,"BISHOP'S OPENING",TRUE,39,"RESIGN","WHITE","BLITZ","e4","e5","e4_Bc4_Qf3_Nh3_d3","e5_h6_Nf6_d6_Nc6",0.747222222222222,"NO_DEFENSE",0.359244538500363,"Black Favoured",463,0.75,1
468,"BISHOP'S OPENING",TRUE,14,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qh5_Qf3_Bxf7+","e5_Nc6_g6_Qf6_Kxf7",0.841605839416058,"NO_DEFENSE",0.359244538500363,"Black Favoured",468,0.75,1
470,"BISHOP'S OPENING",TRUE,54,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_d3_Bg5_Bxf6","e5_Nf6_Bc5_c6_Qxf6",0.701340140395661,"DEFENSE",0.359244538500363,"Black Favoured",470,0.75,1
474,"BISHOP'S OPENING",FALSE,68,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_d4_exd5_Bb5+","e5_c6_d5_cxd5_Bd7",0.774293286219081,"NO_DEFENSE",0.359244538500363,"Black Favoured",474,0.75,1
476,"BISHOP'S OPENING",TRUE,92,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_d3_Bg5_Nf3","e5_Nf6_c6_Be7_d5",0.897159090909091,"DEFENSE",0.359244538500363,"Black Favoured",476,0.75,1
484,"BISHOP'S OPENING",FALSE,10,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qh5_Qxf7+_Bxf7+","e5_d6_Nh6_Nxf7_Kxf7",0.852,"NO_DEFENSE",0.359244538500363,"Black Favoured",484,0.75,1
499,"BISHOP'S OPENING",FALSE,7,"MATE","WHITE","BLITZ","e4","e5","e4_Bc4_Qf3_Qxf7#_","e5_Na6_b6__",0.825333333333333,"NO_DEFENSE",0.359244538500363,"Black Favoured",499,0.75,1
512,"BISHOP'S OPENING",TRUE,179,"MATE","WHITE","STANDARD","e4","e5","e4_Bc4_Nf3_c3_Qb3","e5_c5_d6_h6_Qd7",0.832870627429206,"NO_DEFENSE",0.359244538500363,"Black Favoured",512,0.75,1
520,"BISHOP'S OPENING",TRUE,84,"RESIGN","WHITE","STANDARD","e4","e5","e4_Bc4_Qf3_Qb3_Nc3","e5_Nc6_Nf6_Qe7_Na5",0.805893657911595,"NO_DEFENSE",0.359244538500363,"Black Favoured",520,0.75,1
528,"BISHOP'S OPENING",FALSE,38,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_g3_d4","e5_Qh4_Nf6_Qh6_Qxc1+",0.875333333333333,"NO_DEFENSE",0.359244538500363,"Black Favoured",528,0.75,1
531,"BISHOP'S OPENING",TRUE,56,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nc3_Bc4_d3_Bb3","e5_Nc6_Nf6_Na5_Bb4",0.79140832595217,"NO_DEFENSE",0.359244538500363,"Black Favoured",531,0.75,1
538,"BISHOP'S OPENING",TRUE,48,"MATE","BLACK","BLITZ","e4","e5","e4_Bc4_Nc3_d3_Bg5","e5_Nf6_Bc5_d6_h6",0.730715287517532,"NO_DEFENSE",0.359244538500363,"Black Favoured",538,0.75,1
551,"BISHOP'S OPENING",TRUE,18,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_d3_Bg5","e5_Nc6_Nf6_Bc5_O-O",0.72029702970297,"NO_DEFENSE",0.359244538500363,"Black Favoured",551,0.75,1
567,"BISHOP'S OPENING",TRUE,27,"RESIGN","BLACK","STANDARD","e4","e5","e4_Bc4_Qh5_d3_Kd1","e5_Bc5_Qf6_Qxf2+_d6",0.818041634541249,"NO_DEFENSE",0.359244538500363,"Black Favoured",567,0.75,1
571,"BISHOP'S OPENING",TRUE,68,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_d3_Nf3_c3","e5_Nf6_Bc5_d6_Bb6",0.800533096401599,"DEFENSE",0.359244538500363,"Black Favoured",571,0.75,1
603,"CARO-KANN DEFENSE",TRUE,63,"RESIGN","WHITE","STANDARD","e4","c6","e4_d4_exd5_Bd3_c3","c6_d5_cxd5_Nf6_e6",0.899087799315849,"DEFENSE",-0.043402320202307,"Black Favoured",603,0.75,1
604,"CARO-KANN DEFENSE",TRUE,6,"RESIGN","BLACK","BLITZ","e4","c6","e4_d3_g3__","c6_d5_dxe4__",0.812702527543746,"DEFENSE",-0.043402320202307,"Black Favoured",604,0.75,1
607,"CARO-KANN DEFENSE",FALSE,41,"OUTOFTIME","WHITE","BLITZ","e4","c6","e4_d4_e5_Bd3_Qxd3","c6_d5_Bf5_Bxd3_e6",0.858620689655172,"DEFENSE",-0.043402320202307,"Black Favoured",607,0.75,1
618,"CARO-KANN DEFENSE",TRUE,34,"MATE","BLACK","BLITZ","e4","c6","e4_d4_Nc3_Nxe4_Nc5","c6_d5_dxe4_Bf5_e6",0.834928229665072,"DEFENSE",-0.043402320202307,"Black Favoured",618,0.75,1
625,"CARO-KANN DEFENSE",TRUE,108,"MATE","BLACK","STANDARD","e4","c6","e4_d4_Nc3_Nxe4_Nc5","c6_d5_dxe4_Bf5_b6",0.879863813229572,"DEFENSE",-0.043402320202307,"Black Favoured",625,0.75,1
634,"CARO-KANN DEFENSE",TRUE,20,"OUTOFTIME","BLACK","STANDARD","e4","c6","e4_Nc3_d4_Nxe4_Qe2","c6_d5_dxe4_Bf5_Bxe4",0.790617848970252,"DEFENSE",-0.043402320202307,"Black Favoured",634,0.75,1
640,"CARO-KANN DEFENSE",TRUE,79,"MATE","WHITE","BLITZ","e4","c6","e4_d4_Nf3_Bd3_Bd2","c6_d6_h6_Qa5+_Qb6",0.874834437086093,"DEFENSE",-0.043402320202307,"Black Favoured",640,0.75,1
647,"CARO-KANN DEFENSE",TRUE,38,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_e5_Nf3_Bg5","c6_d5_Bf5_e6_Ne7",0.759643916913947,"DEFENSE",-0.043402320202307,"Black Favoured",647,0.75,1
658,"CARO-KANN DEFENSE",TRUE,62,"RESIGN","BLACK","STANDARD","e4","c6","e4_d4_Nc3_Nxe4_Bd3","c6_d5_dxe4_Bf5_Nd7",0.87518573551263,"DEFENSE",-0.043402320202307,"Black Favoured",658,0.75,1
661,"CARO-KANN DEFENSE",TRUE,70,"RESIGN","BLACK","BLITZ","e4","c6","e4_Bc4_exd5_Bb5+_Nc3","c6_d5_cxd5_Nc6_a6",0.803391626921039,"DEFENSE",-0.043402320202307,"Black Favoured",661,0.75,1
668,"CARO-KANN DEFENSE",TRUE,43,"RESIGN","BLACK","BLITZ","d4","d5","d4_e4_Nc3_f3_Qxf3","d5_c6_dxe4_exf3_Nf6",0.839859437751004,"DEFENSE",-0.043402320202307,"Black Favoured",668,0.75,1
676,"CARO-KANN DEFENSE",TRUE,49,"RESIGN","BLACK","STANDARD","e4","c6","e4_Bc4_exd5_Bb3_d3","c6_d5_cxd5_Bf5_e6",0.89272030651341,"DEFENSE",-0.043402320202307,"Black Favoured",676,0.75,1
677,"CARO-KANN DEFENSE",FALSE,7,"RESIGN","WHITE","STANDARD","e4","d5","e4_e5_d4_dxc5_","d5_c6_c5__",0.8,"DEFENSE",-0.043402320202307,"Black Favoured",677,0.75,1
680,"CARO-KANN DEFENSE",TRUE,65,"MATE","WHITE","BLITZ","e4","c6","e4_e5_d4_f4_Nf3","c6_d5_Bf5_h6_Bg4",0.773695420660277,"DEFENSE",-0.043402320202307,"Black Favoured",680,0.75,1
682,"CARO-KANN DEFENSE",FALSE,58,"RESIGN","WHITE","BLITZ","e4","c6","e4_f4_e5_Nf3_d4","c6_d5_Bf5_h6_e6",0.796515245799627,"DEFENSE",-0.043402320202307,"Black Favoured",682,0.75,1
683,"CARO-KANN DEFENSE",FALSE,48,"RESIGN","BLACK","STANDARD","e4","c6","e4_d4_exd5_Bf4_h3","c6_d5_cxd5_Nf6_Qb6",0.85427135678392,"DEFENSE",-0.043402320202307,"Black Favoured",683,0.75,1
689,"CARO-KANN DEFENSE",FALSE,56,"RESIGN","BLACK","STANDARD","e4","c6","e4_d4_e5_Bd3_Qxd3","c6_d5_Bf5_Bxd3_e6",0.679447168970129,"DEFENSE",-0.043402320202307,"Black Favoured",689,0.75,1
690,"CARO-KANN DEFENSE",TRUE,96,"MATE","BLACK","BLITZ","e4","c6","e4_Nf3_exd5_Nc3_Bb5+","c6_d5_cxd5_Bg4_Nc6",0.736632536973834,"DEFENSE",-0.043402320202307,"Black Favoured",690,0.75,1
702,"CARO-KANN DEFENSE",FALSE,14,"MATE","BLACK","BLITZ","c4","c6","c4_e4_c5_Bc4_a3","c6_d5_dxe4_e6_Bxc5",0.826694619147449,"DEFENSE",-0.043402320202307,"Black Favoured",702,0.75,1
705,"CARO-KANN DEFENSE",FALSE,24,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_e5_Bd3_Qxd3","c6_d5_Bf5_Bxd3_e6",0.782392026578073,"DEFENSE",-0.043402320202307,"Black Favoured",705,0.75,1
708,"CARO-KANN DEFENSE",TRUE,44,"MATE","BLACK","BLITZ","e4","c6","e4_d4_exd5_Nc3_Nf3","c6_d5_cxd5_Nf6_Bg4",0.87636761487965,"DEFENSE",-0.043402320202307,"Black Favoured",708,0.75,1
716,"CARO-KANN DEFENSE",TRUE,70,"RESIGN","BLACK","STANDARD","e4","c6","e4_Bc4_Bb3_Nc3_f3","c6_d5_dxe4_Nf6_exf3",0.760852407261247,"DEFENSE",-0.043402320202307,"Black Favoured",716,0.75,1
723,"CARO-KANN DEFENSE",TRUE,24,"RESIGN","BLACK","BLITZ","e4","c6","e4_Nf3_d3_dxe4_Kxd1","c6_d5_dxe4_Qxd1+_Bg4",0.694201312910284,"DEFENSE",-0.043402320202307,"Black Favoured",723,0.75,1
726,"CARO-KANN DEFENSE",TRUE,42,"RESIGN","BLACK","BLITZ","e4","c6","e4_Nf3_exd5_d4_Nc3","c6_d5_cxd5_Bg4_Nf6",0.789197692711065,"DEFENSE",-0.043402320202307,"Black Favoured",726,0.75,1
727,"CARO-KANN DEFENSE",TRUE,140,"OUTOFTIME","BLACK","BLITZ","e4","c6","e4_Bc4_d4_exd5_Bb3","c6_e6_d5_exd5_Qe7+",0.870906801007557,"DEFENSE",-0.043402320202307,"Black Favoured",727,0.75,1
729,"CARO-KANN DEFENSE",TRUE,19,"RESIGN","BLACK","BLITZ","e4","c6","e4_Nf3_exd5_Bb5+_Bxc6+","c6_d5_cxd5_Nc6_bxc6",0.636785162287481,"DEFENSE",-0.043402320202307,"Black Favoured",729,0.75,1
752,"CARO-KANN DEFENSE",TRUE,45,"RESIGN","BLACK","STANDARD","e4","c6","e4_Nf3_exd5_d4_Bd3","c6_d5_cxd5_Nf6_Bg4",0.881999074502545,"DEFENSE",-0.043402320202307,"Black Favoured",752,0.75,1
753,"CARO-KANN DEFENSE",FALSE,118,"RESIGN","BLACK","STANDARD","e4","c6","e4_d4_exd5_Nc3_Nf3","c6_d5_cxd5_Nf6_Bf5",0.847980997624703,"DEFENSE",-0.043402320202307,"Black Favoured",753,0.75,1
761,"CARO-KANN DEFENSE",TRUE,58,"MATE","BLACK","BLITZ","e4","c6","e4_Bc4_Ne2_exd5_Bb3","c6_g6_d5_cxd5_Nf6",0.872715404699739,"DEFENSE",-0.043402320202307,"Black Favoured",761,0.75,1
762,"CARO-KANN DEFENSE",TRUE,34,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_f3_Bg5_fxe4","c6_d5_Nf6_dxe4_Nxe4",0.793911007025761,"DEFENSE",-0.043402320202307,"Black Favoured",762,0.75,1
766,"CARO-KANN DEFENSE",TRUE,51,"MATE","WHITE","BLITZ","e4","c6","e4_Bc4_exd5_Bb3_d3","c6_d5_cxd5_a5_a4",0.872394188250158,"DEFENSE",-0.043402320202307,"Black Favoured",766,0.75,1
770,"CARO-KANN DEFENSE",TRUE,74,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_exd5_Nc3_Bd3","c6_d5_cxd5_e6_a6",0.649392194497761,"DEFENSE",-0.043402320202307,"Black Favoured",770,0.75,1
771,"CARO-KANN DEFENSE",TRUE,52,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_e5_dxc5_Nf3","c6_d5_c5_Nc6_Bg4",0.821199143468951,"DEFENSE",-0.043402320202307,"Black Favoured",771,0.75,1
772,"CARO-KANN DEFENSE",FALSE,80,"MATE","BLACK","STANDARD","e4","c6","e4_Nf3_exd5_g3_Bg2","c6_d5_cxd5_Nf6_Nc6",0.696378830083565,"DEFENSE",-0.043402320202307,"Black Favoured",772,0.75,1
778,"CARO-KANN DEFENSE",TRUE,80,"MATE","BLACK","STANDARD","e4","c6","e4_Nf3_exd5_d4_Bf4","c6_d5_cxd5_Bg4_Nc6",0.867768595041322,"DEFENSE",-0.043402320202307,"Black Favoured",778,0.75,1
784,"CARO-KANN DEFENSE",FALSE,49,"RESIGN","BLACK","STANDARD","e4","c6","e4_d4_exd5_Nf3_Nc3","c6_d5_cxd5_Nc6_Bg4",0.626422764227642,"DEFENSE",-0.043402320202307,"Black Favoured",784,0.75,1
788,"CARO-KANN DEFENSE",TRUE,59,"RESIGN","WHITE","BLITZ","e4","c6","e4_d4_e5_h3_Nf3","c6_d5_Bf5_h6_e6",0.812800769971126,"DEFENSE",-0.043402320202307,"Black Favoured",788,0.75,1
789,"CARO-KANN DEFENSE",TRUE,48,"MATE","BLACK","BLITZ","e4","c6","e4_d4_e5_g4_Bg2","c6_d5_Bf5_Bg6_h6",0.824919441460795,"DEFENSE",-0.043402320202307,"Black Favoured",789,0.75,1
797,"CARO-KANN DEFENSE",TRUE,40,"RESIGN","BLACK","BLITZ","e4","c6","e4_g3_exd5_Bg2_b3","c6_d5_cxd5_e5_Nc6",0.775941230486685,"DEFENSE",-0.043402320202307,"Black Favoured",797,0.75,1
803,"CARO-KANN DEFENSE",TRUE,96,"MATE","BLACK","BLITZ","e4","c6","e4_d4_exd5_Bd3_c3","c6_d5_cxd5_Nc6_Nf6",0.713756368689208,"DEFENSE",-0.043402320202307,"Black Favoured",803,0.75,1
806,"CARO-KANN DEFENSE",TRUE,42,"RESIGN","BLACK","STANDARD","e4","c6","e4_Nf3_d3_c3_exd5","c6_Nf6_g6_d5_cxd5",0.854579792256846,"DEFENSE",-0.043402320202307,"Black Favoured",806,0.75,1
