X,P21,rated,turns,victory_status,winner,pace_type,W1,B1,W_First5,B_First5,Rating_WB,opening_strategy,op_name,rating_bins,ID_unit,Prob,Stratum
72,QUEEN'S PAWN GAME,TRUE,47,RESIGN,BLACK,STANDARD,d4,d5,d4_Bf4_Nf3_e3_Bg3,d5_Nf6_e6_Bd6_O-O,0.750118765,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,70,0.75,1
73,FRENCH DEFENSE,TRUE,64,MATE,BLACK,STANDARD,e4,e6,e4_f4_e5_Nf3_c3,e6_d5_c5_Nc6_Nh6,1.133333333,DEFENSE,FRENCH DEFENSE,Equal,71,0.75,1
74,QUEEN'S PAWN GAME,TRUE,61,RESIGN,WHITE,STANDARD,d4,d5,d4_Bf4_e3_Nf3_c4,d5_Nf6_g6_Bg7_dxc4,1.080779944,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,72,0.75,1
75,QUEEN'S PAWN GAME,TRUE,57,MATE,WHITE,STANDARD,d4,Nf6,d4_Bf4_Nf3_e3_h3,Nf6_d5_Nc6_Bg4_Bh5,0.921415717,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,73,0.75,1
76,ENGLISH OPENING,TRUE,51,RESIGN,WHITE,STANDARD,c4,Nc6,c4_d4_e3_Nc3_Bd2,Nc6_g6_Bg7_d6_Bf5,0.981923822,NO_DEFENSE,ENGLISH OPENING,Equal,74,0.75,1
77,CRAB OPENING,TRUE,58,MATE,BLACK,STANDARD,a4,e5,a4_h4_b3_e3_Bb5,e5_d5_Nc6_Bf5_Ne7,0.809708738,NO_DEFENSE,OTHER,Equal,75,0.75,1
78,QUEEN'S PAWN GAME,TRUE,71,RESIGN,WHITE,STANDARD,d4,d5,d4_Bf4_Nf3_e3_Bg3,d5_Nc6_f6_g5_Be6,1.091619318,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,76,0.75,1
80,FRENCH DEFENSE,TRUE,39,RESIGN,WHITE,STANDARD,e4,e6,e4_d4_Nc3_e5_a3,e6_d5_Bb4_c5_Bxc3+,1.045691906,DEFENSE,FRENCH DEFENSE,Equal,78,0.75,1
82,QUEEN'S PAWN GAME,TRUE,48,RESIGN,BLACK,STANDARD,d4,d5,d4_Bf4_Nf3_e3_Bg3,d5_e6_c5_Bd6_Bxg3,1.011046134,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,80,0.75,1
83,FRENCH DEFENSE,TRUE,34,MATE,BLACK,STANDARD,e4,e6,e4_Nf3_exd5_d4_Be2,e6_d5_exd5_Bg4_Qe7,0.910206718,DEFENSE,FRENCH DEFENSE,Equal,81,0.75,1
84,QUEEN'S PAWN GAME,TRUE,51,RESIGN,WHITE,STANDARD,d4,d5,d4_Bf4_Nf3_e3_Bd3,d5_Nf6_h6_e6_Nc6,1.085331453,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,82,0.75,1
85,FRENCH DEFENSE,TRUE,69,RESIGN,WHITE,STANDARD,e4,e6,e4_Nc3_exd5_Nf3_Bb5+,e6_d5_exd5_Nf6_c6,1.034193548,DEFENSE,FRENCH DEFENSE,Equal,83,0.75,1
86,QUEEN'S PAWN GAME,TRUE,28,RESIGN,WHITE,STANDARD,d4,d5,d4_Bf4_e3_exd4_Nf3,d5_c5_cxd4_e6_Nc6,1.102215868,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,84,0.75,1
89,HORWITZ DEFENSE,TRUE,85,MATE,WHITE,STANDARD,d4,e6,d4_Bf4_Nf3_e3_c3,e6_d5_Qe7_c5_cxd4,0.84809417,DEFENSE,HORWITZ DEFENSE,Equal,87,0.75,1
90,QUEEN'S PAWN GAME,TRUE,38,RESIGN,WHITE,STANDARD,d4,Nf6,d4_Bf4_Nf3_e3_Bg3,Nf6_d5_Nc6_Nh5_Nxg3,1.038754325,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,88,0.75,1
93,QUEEN'S GAMBIT REFUSED,TRUE,62,RESIGN,WHITE,STANDARD,d4,d5,d4_c4_Nc3_e3_Nf3,d5_Nf6_dxc4_Be6_a6,0.991990847,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,90,0.75,1
94,FRENCH DEFENSE,TRUE,101,RESIGN,WHITE,BLITZ,e4,e6,e4_d4_Nc3_exd5_Nf3,e6_d5_c5_exd5_Nc6,1.116733755,DEFENSE,FRENCH DEFENSE,Equal,91,0.75,1
95,SCOTCH GAME,TRUE,75,OUTOFTIME,WHITE,BLITZ,e4,e5,e4_Nf3_d4_Nxd4_Nc3,e5_Nc6_exd4_Ne5_Bb4,0.929380054,NO_DEFENSE,SCOTCH GAME,Equal,92,0.75,1
97,PHILIDOR DEFENSE,TRUE,81,OUTOFTIME,WHITE,BLITZ,e4,e5,e4_Nf3_d4_dxe5_Qxd8+,e5_d6_Nc6_dxe5_Kxd8,1.24351585,DEFENSE,PHILIDOR DEFENSE,Equal,94,0.75,1
99,FRENCH DEFENSE,TRUE,70,MATE,BLACK,BLITZ,e4,e6,e4_Nf3_exd5_d4_c4,e6_d5_exd5_Nf6_c6,0.924189815,DEFENSE,FRENCH DEFENSE,Equal,96,0.75,1
100,FRENCH DEFENSE,TRUE,39,RESIGN,WHITE,BLITZ,e4,e6,e4_d4_Nc3_Nxe4_Nf3,e6_d5_dxe4_Bd7_Bc6,1.00287687,DEFENSE,FRENCH DEFENSE,Equal,97,0.75,1
102,QUEEN'S GAMBIT ACCEPTED,TRUE,137,OUTOFTIME,WHITE,BLITZ,d4,d5,d4_c4_e3_Bxc4_Nf3,d5_dxc4_Nf6_Bf5_e6,1.174176194,NO_DEFENSE,QUEEN'S GAMBIT ACCEPTED,Equal,99,0.75,1
103,FRENCH DEFENSE,TRUE,46,RESIGN,BLACK,BLITZ,e4,e6,e4_d4_e5_c3_Nf3,e6_d5_c5_Nc6_Qb6,1.00518732,DEFENSE,FRENCH DEFENSE,Equal,100,0.75,1
104,QUEEN'S GAMBIT DECLINED,TRUE,18,RESIGN,BLACK,BLITZ,d4,d5,d4_c4_Nc3_Nf3_cxd5,d5_Nf6_e6_c5_cxd4,1.072348253,NO_DEFENSE,QUEEN'S GAMBIT DECLINED,Equal,101,0.75,1
105,QUEEN'S GAMBIT ACCEPTED,TRUE,28,RESIGN,BLACK,BLITZ,d4,d5,d4_c4_e3_Nc3_Nf3,d5_dxc4_Be6_Nc6_Bg4,1.267191977,NO_DEFENSE,QUEEN'S GAMBIT ACCEPTED,Equal,102,0.75,1
106,YUSUPOV-RUBINSTEIN SYSTEM,TRUE,40,RESIGN,BLACK,BLITZ,d4,Nf6,d4_Nf3_e3_Bd3_c4,Nf6_e6_b6_Bb7_c5,1.019886364,NO_DEFENSE,OTHER,Equal,103,0.75,1
108,RUY LOPEZ,TRUE,54,MATE,BLACK,BLITZ,e4,e5,e4_Nf3_Bb5_Bxc6_h3,e5_Nc6_Bc5_dxc6_Nf6,1.006165919,NO_DEFENSE,RUY LOPEZ,Equal,105,0.75,1
109,QUEEN'S PAWN GAME,TRUE,33,RESIGN,WHITE,BLITZ,d4,d5,d4_Nf3_Bf4_e3_Bd3,d5_e6_Nf6_a6_h6,0.945512821,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,106,0.75,1
110,QUEEN'S PAWN GAME,TRUE,90,RESIGN,BLACK,BLITZ,d4,d5,d4_Nf3_Bf4_Ne5_e3,d5_Nf6_Bg4_Bf5_Nbd7,1.036025567,NO_DEFENSE,QUEEN'S PAWN GAME,Equal,107,0.75,1
111,RUY LOPEZ,TRUE,90,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_Bb5_c3_O-O,e5_Nc6_Bc5_Qf6_Nge7,1.06561086,NO_DEFENSE,RUY LOPEZ,Equal,108,0.75,1
113,BENONI DEFENSE,TRUE,49,OUTOFTIME,WHITE,BLITZ,d4,Nf6,d4_Nf3_d5_Nc3_e4,Nf6_c5_d6_e5_Be7,0.880490296,DEFENSE,BENONI DEFENSE,Equal,110,0.75,1
116,NIMZOWITSCH DEFENSE,TRUE,26,OUTOFTIME,BLACK,STANDARD,d4,d6,d4_e4_d5_Be2_c4,d6_Nc6_Ne5_e6_exd5,1.020508614,DEFENSE,NIMZOWITSCH DEFENSE,Equal,113,0.75,1
119,SICILIAN DEFENSE,TRUE,66,MATE,BLACK,STANDARD,e4,c5,e4_Nf3_d4_dxc5_Qd5,c5_Nf6_Nxe4_Nxc5_e6,0.9453125,DEFENSE,SICILIAN DEFENSE,Equal,116,0.75,1
121,ITALIAN GAME,TRUE,36,MATE,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_Ng5_exd5,e5_Nc6_Nf6_d5_Nxd5,0.909768829,DEFENSE,ITALIAN GAME,Equal,117,0.75,1
122,ITALIAN GAME,TRUE,26,MATE,BLACK,STANDARD,e4,e5,e4_Nf3_Bc4_O-O_d3,e5_Nc6_h6_d6_a6,0.908020603,DEFENSE,ITALIAN GAME,Equal,118,0.75,1
124,ALEKHINE DEFENSE,TRUE,37,RESIGN,WHITE,STANDARD,e4,Nf6,e4_d3_a3_exd5_c4,Nf6_e5_d5_Nxd5_Nf4,1.117784711,DEFENSE,ALEKHINE DEFENSE,Equal,120,0.75,1
125,QUEEN'S GAMBIT REFUSED,TRUE,24,RESIGN,BLACK,STANDARD,d4,Nf6,d4_c4_Nc3_e3_a4,Nf6_d5_dxc4_b5_b4,0.887147335,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,121,0.75,1
126,ITALIAN GAME,FALSE,47,RESIGN,WHITE,STANDARD,e4,e5,e4_Nf3_Bc4_d4_dxe5,e5_Nc6_h6_d6_Nxe5,0.975535168,DEFENSE,ITALIAN GAME,Equal,122,0.75,1
127,ALEKHINE DEFENSE,TRUE,37,RESIGN,BLACK,STANDARD,e4,Nf6,e4_e5_c4_c5_d4,Nf6_Nd5_Nb6_Nd5_d6,0.969984202,DEFENSE,ALEKHINE DEFENSE,Equal,123,0.75,1
128,CARO-KANN DEFENSE,TRUE,24,RESIGN,BLACK,STANDARD,e4,c6,e4_d4_exd5_Bd2_Be3,c6_d5_Qa5+_Qxd5_Bf5,0.903477644,DEFENSE,CARO-KANN DEFENSE,Equal,124,0.75,1
130,SICILIAN DEFENSE,TRUE,47,MATE,WHITE,STANDARD,e4,c5,e4_Nf3_d4_Nxd4_Qe2,c5_d6_cxd4_Nf6_Nbd7,0.945359281,DEFENSE,SICILIAN DEFENSE,Equal,126,0.75,1
131,ENGLISH OPENING,TRUE,85,MATE,WHITE,STANDARD,c4,e5,c4_g3_cxd5_Nf3_Nc3,e5_d5_Qxd5_g5_Qc6,1.033778476,NO_DEFENSE,ENGLISH OPENING,Equal,127,0.75,1
132,GOLDSMITH DEFENSE,TRUE,39,MATE,WHITE,STANDARD,e4,h5,e4_d4_exd5_g4_f3,h5_d5_Qxd5_Bxg4_Bxf3,0.996009577,DEFENSE,OTHER,Equal,128,0.75,1
133,NIMZO-INDIAN DEFENSE,TRUE,58,MATE,BLACK,STANDARD,d4,Nf6,d4_c4_Nc3_Bd2_e3,Nf6_e6_Bb4_O-O_d5,1.082725061,DEFENSE,NIMZO-INDIAN DEFENSE,Equal,129,0.75,1
135,ALEKHINE DEFENSE,TRUE,2,RESIGN,BLACK,STANDARD,e4,Nf6,e4____,Nf6____,1.198504983,DEFENSE,ALEKHINE DEFENSE,Equal,131,0.75,1
136,QUEEN'S GAMBIT REFUSED,TRUE,97,MATE,WHITE,STANDARD,d4,d5,d4_c4_c5_Nf3_Rxb1,d5_Nf6_Bf5_Bxb1_Nc6,1.009046053,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,132,0.75,1
138,FOUR KNIGHTS GAME,TRUE,30,RESIGN,WHITE,STANDARD,e4,Nf6,e4_Nc3_Bc4_Nf3_Ng5,Nf6_e5_Bc5_Nc6_O-O,1,NO_DEFENSE,FOUR KNIGHTS GAME,Equal,133,0.75,1
140,ALEKHINE DEFENSE,TRUE,11,RESIGN,WHITE,STANDARD,e4,Nf6,e4_f3_c3_d4_cxd4,Nf6_e5_Be7_exd4_c5,1.073743922,DEFENSE,ALEKHINE DEFENSE,Equal,135,0.75,1
141,ALEKHINE DEFENSE,TRUE,72,MATE,BLACK,STANDARD,e4,Nf6,e4_e5_Nc3_bxc3_f4,Nf6_Nd5_Nxc3_d6_dxe5,0.992628993,DEFENSE,ALEKHINE DEFENSE,Equal,136,0.75,1
142,KING'S KNIGHT OPENING,TRUE,156,MATE,BLACK,STANDARD,e4,e5,e4_Nf3_Nxe5_Nd3_Be2,e5_Bb4_Qe7_Qxe4+_Qxg2,0.829499323,NO_DEFENSE,KING'S KNIGHT OPENING,Equal,137,0.75,1
145,ALEKHINE DEFENSE,TRUE,32,RESIGN,BLACK,STANDARD,e4,Nf6,e4_e5_c4_d4_Bf4,Nf6_Nd5_Nb6_d6_dxe5,1.175206612,DEFENSE,ALEKHINE DEFENSE,Equal,140,0.75,1
147,MODERN DEFENSE,TRUE,85,MATE,WHITE,STANDARD,e4,g6,e4_d4_Bc4_Bf4_exd5,g6_h5_e6_d5_exd5,1,DEFENSE,MODERN DEFENSE,Equal,142,0.75,1
148,SCANDINAVIAN DEFENSE,TRUE,50,RESIGN,BLACK,STANDARD,e4,d5,e4_exd5_c4_dxc6_d4,d5_Nf6_c6_Nxc6_Qxd4,0.914370812,DEFENSE,SCANDINAVIAN DEFENSE,Equal,143,0.75,1
149,YUSUPOV-RUBINSTEIN SYSTEM,TRUE,111,RESIGN,WHITE,BLITZ,Nf3,Nf6,Nf3_d4_e3_c3_Nbd2,Nf6_e6_c5_Nc6_d5,1.001611171,NO_DEFENSE,OTHER,Equal,144,0.75,1
152,SICILIAN DEFENSE,TRUE,125,RESIGN,WHITE,STANDARD,e4,c5,e4_Nf3_Nc3_Bb5_Be2,c5_g6_Bg7_a6_Nc6,0.965067779,DEFENSE,SICILIAN DEFENSE,Equal,147,0.75,1
154,RUY LOPEZ,TRUE,65,OUTOFTIME,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_Ng5_d3,e5_Nc6_Nf6_Bc5_O-O,1.044532131,DEFENSE,RUY LOPEZ,Equal,149,0.75,1
155,SICILIAN DEFENSE,TRUE,41,MATE,WHITE,BLITZ,e4,c5,e4_Nf3_d4_Nxd4_Nc3,c5_d6_cxd4_Nf6_a6,1.025778733,DEFENSE,SICILIAN DEFENSE,Equal,150,0.75,1
158,SICILIAN DEFENSE,TRUE,34,RESIGN,WHITE,STANDARD,e4,c5,e4_Nf3_Bb5+_c4_Ba4,c5_d6_Nc6_a6_Bd7,0.989177489,DEFENSE,SICILIAN DEFENSE,Equal,153,0.75,1
159,AMAR OPENING,TRUE,69,OUTOFTIME,WHITE,BLITZ,Nh3,d5,Nh3_g3_Bg2_f4_Nf2,d5_Nf6_c5_e6_Nc6,0.998385361,NO_DEFENSE,OTHER,Equal,154,0.75,1
160,RUY LOPEZ,TRUE,63,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_Ba4_c3,e5_Nc6_a6_Bc5_d6,0.974670185,DEFENSE,RUY LOPEZ,Equal,155,0.75,1
163,CARO-KANN DEFENSE,FALSE,34,RESIGN,BLACK,STANDARD,e4,c6,e4_Nf3_Nc3_d4_h3,c6_d5_Bg4_e6_Bh5,0.995150862,DEFENSE,CARO-KANN DEFENSE,Equal,158,0.75,1
164,SICILIAN DEFENSE,TRUE,100,OUTOFTIME,BLACK,STANDARD,e4,c5,e4_c3_Bc4_d3_a4,c5_d6_Nf6_a6_e6,1.001633097,DEFENSE,SICILIAN DEFENSE,Equal,159,0.75,1
165,SICILIAN DEFENSE,TRUE,80,RESIGN,BLACK,BLITZ,e4,c5,e4_Nf3_g3_Bg2_d3,c5_e6_Nc6_Qc7_e5,1.023255814,DEFENSE,SICILIAN DEFENSE,Equal,160,0.75,1
166,FRENCH DEFENSE,TRUE,44,RESIGN,BLACK,STANDARD,e4,e6,e4_Nf3_exd5_d4_Bd3,e6_d5_exd5_Nf6_Be7,1.021978022,DEFENSE,FRENCH DEFENSE,Equal,161,0.75,1
167,PALEFACE ATTACK,TRUE,40,OUTOFTIME,BLACK,BLITZ,d4,Nf6,d4_f3_d5_c3_e4,Nf6_c5_d6_e6_Be7,1.002704164,NO_DEFENSE,OTHER,Equal,162,0.75,1
168,SICILIAN DEFENSE,TRUE,105,OUTOFTIME,WHITE,BLITZ,e4,c5,e4_Nf3_Bc4_d3_a3,c5_d6_Nf6_a6_g6,1.01936525,DEFENSE,SICILIAN DEFENSE,Equal,163,0.75,1
169,SICILIAN DEFENSE,TRUE,50,RESIGN,BLACK,STANDARD,e4,c5,e4_Nf3_Bb5_O-O_Re1,c5_Nc6_g6_Bg7_Nf6,0.949618321,DEFENSE,SICILIAN DEFENSE,Equal,164,0.75,1
171,CARO-KANN DEFENSE,FALSE,81,RESIGN,BLACK,BLITZ,e4,c6,e4_d4_Nc3_Nxe4_Ng3,c6_d5_dxe4_Bf5_Bg6,0.983386924,DEFENSE,CARO-KANN DEFENSE,Equal,165,0.75,1
172,RUY LOPEZ,TRUE,69,RESIGN,BLACK,STANDARD,e4,e5,e4_Nf3_Bb5_Nxd4_c3,e5_Nc6_Nd4_exd4_c6,1.009139785,NO_DEFENSE,RUY LOPEZ,Equal,166,0.75,1
173,SICILIAN DEFENSE,TRUE,77,MATE,WHITE,BLITZ,e4,c5,e4_Nf3_d4_Nxd4_Nc3,c5_d6_cxd4_a6_Nf6,0.986659552,DEFENSE,SICILIAN DEFENSE,Equal,167,0.75,1
176,RUY LOPEZ,TRUE,117,MATE,WHITE,STANDARD,e4,e5,e4_Nf3_Bb5_O-O_Ba4,e5_Nc6_d6_a6_b5,1.014762165,DEFENSE,RUY LOPEZ,Equal,169,0.75,1
177,RUY LOPEZ,TRUE,44,RESIGN,WHITE,BLITZ,e4,e5,e4_Nf3_Bb5_Ba4_O-O,e5_Nc6_a6_Bc5_b5,0.999458288,DEFENSE,RUY LOPEZ,Equal,170,0.75,1
179,CARO-KANN DEFENSE,TRUE,59,RESIGN,WHITE,STANDARD,e4,c6,e4_f4_e5_Nf3_d4,c6_d5_Bf5_h6_Nd7,1.000542005,DEFENSE,CARO-KANN DEFENSE,Equal,172,0.75,1
180,QUEEN'S GAMBIT REFUSED,FALSE,110,RESIGN,BLACK,BLITZ,d4,d5,d4_c4_Nc3_Nf3_e3,d5_Nf6_Bf5_e6_Bb4,0.962441315,DEFENSE,QUEEN'S GAMBIT REFUSED,Equal,173,0.75,1
181,SCANDINAVIAN DEFENSE,TRUE,30,RESIGN,BLACK,STANDARD,e4,d5,e4_exd5_Nc3_Nge2_d3,d5_Qxd5_Qe5+_Nf6_Bg4,1.037988827,DEFENSE,SCANDINAVIAN DEFENSE,Equal,174,0.75,1
182,SICILIAN DEFENSE,TRUE,54,RESIGN,BLACK,BLITZ,e4,c5,e4_Nf3_Bc4_d4_Nxd4,c5_Nc6_d6_cxd4_g6,1.012994044,DEFENSE,SICILIAN DEFENSE,Equal,175,0.75,1
183,PHILIDOR DEFENSE,TRUE,69,RESIGN,BLACK,BLITZ,e4,e5,e4_Nf3_d4_Bb5_Nc3,e5_d6_Nc6_Bd7_a6,0.987693954,DEFENSE,PHILIDOR DEFENSE,Equal,176,0.75,1
186,SICILIAN DEFENSE,FALSE,124,MATE,BLACK,BLITZ,e4,c5,e4_Nf3_Bb5_d4_Bxc6+,c5_Nc6_d6_a6_bxc6,1.012628256,DEFENSE,SICILIAN DEFENSE,Equal,179,0.75,1
187,HUNGARIAN OPENING,TRUE,96,RESIGN,BLACK,BLITZ,g3,e5,g3_e4_Bg2_a3_Nc3,e5_Nf6_Bc5_a5_d6,1.015748031,NO_DEFENSE,HUNGARIAN OPENING,Equal,180,0.75,1
